No.	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	SRA_Run_URL	BioProject_URL	BioSample_URL	SRA_Experiment_URL	Download_URL	_source_line	_repair_note
1	SRR1165179	2015-01-01 00:00:00	2014-02-11 09:23:58	38048345	7684962219	38048345	201	3312		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/165/SRR1165179/SRR1165179.sralite.1	SRX467609	a comprehensive pineapple transcriptome	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	100	10	ILLUMINA	Illumina HiSeq 2000	SRP036877	PRJNA237705		237705	SRS555194	SAMN02639419	simple	4615	Ananas comosus	pineapple							no					COLLEGE OF HORTICULTURE, SCAU	SRA137711		public	9DB5C42A79CE167B505C268E78F7D4DB	1816C87465DE358AD81214519326ECF3	https://www.ncbi.nlm.nih.gov/sra/?term=SRR1165179	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237705	https://www.ncbi.nlm.nih.gov/biosample/SAMN02639419	https://www.ncbi.nlm.nih.gov/sra/?term=SRX467609	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/165/SRR1165179/SRR1165179.sralite.1	11	
2	SRR27896194	2024-08-21 13:21:36	2024-02-07 00:03:43	85933099	12220763119	85933099	142	4544		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896194/SRR27896194.lite.1	SRX23556455	GSM8066878	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402754	SAMN39849204	simple	3702	Arabidopsis thaliana	GSM8066878							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	BE2FB1D3DCC685F7019F5564CB35FE4E	6B92F03C570FA16C58B0A8ABA1293868	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896194	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849204	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556455	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896194/SRR27896194.lite.1	728	
3	SRR27896195	2024-08-21 13:21:36	2024-02-07 00:02:36	70017442	10317227376	70017442	147	3930		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896195/SRR27896195.lite.1	SRX23556454	GSM8066877	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402753	SAMN39849205	simple	3702	Arabidopsis thaliana	GSM8066877							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	AB0095E8E8A8C3D064343C2C84BEF649	3EBC3920392C2D626324A1B3AE99275C	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896195	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849205	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556454	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896195/SRR27896195.lite.1	729	
4	SRR27896196	2024-08-21 13:21:35	2024-02-07 00:03:18	69379210	10083312488	69379210	145	3817		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896196/SRR27896196.lite.1	SRX23556453	GSM8066876	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402752	SAMN39849206	simple	3702	Arabidopsis thaliana	GSM8066876							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	0C7D947B4FE067B767DD61A3B7525640	031F5A457C137A600ED7CE4147178957	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896196	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849206	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556453	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896196/SRR27896196.lite.1	730	
5	SRR27896197	2024-08-21 13:21:35	2024-02-07 00:06:53	65847909	9877186350	65847909	150	3066		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896197/SRR27896197.lite.1	SRX23556452	GSM8066875	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402751	SAMN39849207	simple	3702	Arabidopsis thaliana	GSM8066875							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	F2684AB32F7B91CEB1F8CC11B74C3D60	4F03F1F5EDAE445FE715AC1FCF7FC315	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896197	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849207	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556452	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896197/SRR27896197.lite.1	732	
6	SRR27896198	2024-08-21 13:21:35	2024-02-07 00:03:28	74278257	10356263679	74278257	139	4344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896198/SRR27896198.lite.1	SRX23556451	GSM8066874	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402750	SAMN39849208	simple	3702	Arabidopsis thaliana	GSM8066874							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	2440FB8F91D33107CDF687227DDFF33F	8D7235EE94911DD43FD73EF42EBA300E	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896198	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849208	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556451	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896198/SRR27896198.lite.1	733	
7	SRR27896199	2024-08-21 13:21:35	2024-02-07 00:05:55	53568176	7905219224	53568176	147	3640		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896199/SRR27896199.lite.1	SRX23556450	GSM8066873	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402749	SAMN39849209	simple	3702	Arabidopsis thaliana	GSM8066873							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	BC61FF28B2DD400E0D65999DF171A65C	301945BEBD2BABD00BC86B9D8558A225	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896199	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849209	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556450	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896199/SRR27896199.lite.1	734	
8	SRR27896200	2024-08-21 13:21:35	2024-02-07 00:12:42	70475077	10472058248	70475077	148	4746		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896200/SRR27896200.lite.1	SRX23556449	GSM8066872	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402748	SAMN39849210	simple	3702	Arabidopsis thaliana	GSM8066872							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	4792F9858C1EC4CCB26926769317514E	7BDFEDB3FE97595FC2E0FEAD279F7763	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896200	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849210	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556449	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896200/SRR27896200.lite.1	735	
9	SRR27896201	2024-08-21 13:21:35	2024-02-07 00:03:33	60234619	9035192850	60234619	150	2783		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896201/SRR27896201.lite.1	SRX23556448	GSM8066871	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402747	SAMN39849211	simple	3702	Arabidopsis thaliana	GSM8066871							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	B5E4D6D6CEAD99E25EB066A0AEC14EEE	80658AFE8234A20E3B083A9C95B5E8EF	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896201	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849211	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556448	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896201/SRR27896201.lite.1	736	
10	SRR27896202	2024-08-21 13:21:35	2024-02-07 00:10:25	61921639	8891880732	61921639	143	3417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896202/SRR27896202.lite.1	SRX23556447	GSM8066870	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP488569	PRJNA1074004	3	1074004	SRS20402746	SAMN39849212	simple	3702	Arabidopsis thaliana	GSM8066870							no					FACULTY OF NATURAL SCIENCES; INSTITUTE OF BIOLOGY, BIOTECHNOLOGY AND ENVIRONMENTAL PROTECTION, UNIVERSITY OF SILESIA	SRA1798980		public	584393ABE81A6242B5158EF49E6CF7E5	17805AFDD7866BAB9F09BDD839A05162	https://www.ncbi.nlm.nih.gov/sra/?term=SRR27896202	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1074004	https://www.ncbi.nlm.nih.gov/biosample/SAMN39849212	https://www.ncbi.nlm.nih.gov/sra/?term=SRX23556447	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR027/27896/SRR27896202/SRR27896202.lite.1	737	
