id	gene_id	original_gene_id	display_label
Lchi23901	Lchi23901	Lchi23901	BBX20 [Lchi23901]
Lchi16235	Lchi16235	Lchi16235	Lchi16235
Lchi17443	Lchi17443	Lchi17443	Lchi17443
Lchi17168	Lchi17168	Lchi17168	Lchi17168
Lchi18724	Lchi18724	Lchi18724	Lchi18724
Lchi17615	Lchi17615	Lchi17615	Lchi17615
Lchi25188	Lchi25188	Lchi25188	Lchi25188
Lchi14169	Lchi14169	Lchi14169	Lchi14169
Lchi28705	Lchi28705	Lchi28705	Lchi28705
Lchi05599	Lchi05599	Lchi05599	Lchi05599
Lchi08727	Lchi08727	Lchi08727	Lchi08727
Lchi11642	Lchi11642	Lchi11642	Lchi11642
Lchi16615	Lchi16615	Lchi16615	Lchi16615
Lchi25772	Lchi25772	Lchi25772	Lchi25772
Lchi02953	Lchi02953	Lchi02953	ATHB13 [Lchi02953]
Lchi07386	Lchi07386	Lchi07386	Lchi07386
Lchi05513	Lchi05513	Lchi05513	Lchi05513
Lchi27946	Lchi27946	Lchi27946	Lchi27946
Lchi04752	Lchi04752	Lchi04752	Lchi04752
Lchi07566	Lchi07566	Lchi07566	LBD25 [Lchi07566]
Lchi07558	Lchi07558	Lchi07558	Lchi07558
Lchi11589	Lchi11589	Lchi11589	Lchi11589
Lchi11374	Lchi11374	Lchi11374	Lchi11374
Lchi26693	Lchi26693	Lchi26693	ZF-HD1 [Lchi26693]
Lchi09003	Lchi09003	Lchi09003	Lchi09003
Lchi00354	Lchi00354	Lchi00354	Lchi00354
Lchi15600	Lchi15600	Lchi15600	Lchi15600
Lchi09693	Lchi09693	Lchi09693	ATHB6 [Lchi09693]
Lchi25757	Lchi25757	Lchi25757	Lchi25757
Lchi27397	Lchi27397	Lchi27397	Lchi27397
Lchi17921	Lchi17921	Lchi17921	Lchi17921
Lchi06972	Lchi06972	Lchi06972	bHLH149 [Lchi06972]
Lchi19725	Lchi19725	Lchi19725	Lchi19725
Lchi18250	Lchi18250	Lchi18250	bHLH93 [Lchi18250]
Lchi25487	Lchi25487	Lchi25487	Lchi25487
Lchi13937	Lchi13937	Lchi13937	Os03g0212300-like [Lchi13937]
Lchi02750	Lchi02750	Lchi02750	Lchi02750
Lchi12998	Lchi12998	Lchi12998	Lchi12998
Lchi06007	Lchi06007	Lchi06007	HAT2 [Lchi06007]
Lchi22877	Lchi22877	Lchi22877	AS1 [Lchi22877]
Lchi11647	Lchi11647	Lchi11647	Lchi11647
Lchi28527	Lchi28527	Lchi28527	Lchi28527
Lchi22953	Lchi22953	Lchi22953	Lchi22953
Lchi02670	Lchi02670	Lchi02670	Lchi02670
Lchi13371	Lchi13371	Lchi13371	ERF4 [Lchi13371]
Lchi16999	Lchi16999	Lchi16999	Lchi16999
Lchi08779	Lchi08779	Lchi08779	RAV2 [Lchi08779]
Lchi02035	Lchi02035	Lchi02035	Lchi02035
Lchi06352	Lchi06352	Lchi06352	Lchi06352
Lchi05990	Lchi05990	Lchi05990	Lchi05990
Lchi31555	Lchi31555	Lchi31555	Lchi31555
Lchi27919	Lchi27919	Lchi27919	Lchi27919
Lchi28090	Lchi28090	Lchi28090	Lchi28090
Lchi15176	Lchi15176	Lchi15176	EGL1 [Lchi15176]
Lchi09565	Lchi09565	Lchi09565	Lchi09565
Lchi15589	Lchi15589	Lchi15589	GTL1 [Lchi15589]
Lchi08487	Lchi08487	Lchi08487	WOX9 [Lchi08487]
Lchi04815	Lchi04815	Lchi04815	Lchi04815
Lchi12819	Lchi12819	Lchi12819	Lchi12819
Lchi01385	Lchi01385	Lchi01385	Lchi01385
Lchi01000	Lchi01000	Lchi01000	Lchi01000
Lchi02104	Lchi02104	Lchi02104	Lchi02104
Lchi13511	Lchi13511	Lchi13511	Lchi13511
Lchi16452	Lchi16452	Lchi16452	Lchi16452
Lchi03719	Lchi03719	Lchi03719	Lchi03719
Lchi00158	Lchi00158	Lchi00158	bHLH147 [Lchi00158]
Lchi11837	Lchi11837	Lchi11837	Lchi11837
Lchi17197	Lchi17197	Lchi17197	Lchi17197
Lchi01554	Lchi01554	Lchi01554	Lchi01554
Lchi05992	Lchi05992	Lchi05992	ERF2 [Lchi05992]
Lchi03143	Lchi03143	Lchi03143	Lchi03143
Lchi17317	Lchi17317	Lchi17317	Lchi17317
Lchi24864	Lchi24864	Lchi24864	Lchi24864
Lchi23975	Lchi23975	Lchi23975	Lchi23975
Lchi12025	Lchi12025	Lchi12025	Lchi12025
Lchi18004	Lchi18004	Lchi18004	bHLH13 [Lchi18004]
Lchi11397	Lchi11397	Lchi11397	Lchi11397
Lchi06116	Lchi06116	Lchi06116	Lchi06116
Lchi16689	Lchi16689	Lchi16689	Lchi16689
Lchi06311	Lchi06311	Lchi06311	Lchi06311
Lchi02405	Lchi02405	Lchi02405	Lchi02405
Lchi25021	Lchi25021	Lchi25021	HSFA2b [Lchi25021]
Lchi18761	Lchi18761	Lchi18761	Lchi18761
Lchi02176	Lchi02176	Lchi02176	Lchi02176
Lchi19388	Lchi19388	Lchi19388	Lchi19388
Lchi03659	Lchi03659	Lchi03659	Lchi03659
Lchi02551	Lchi02551	Lchi02551	bHLH62 [Lchi02551]
Lchi22140	Lchi22140	Lchi22140	Lchi22140
Lchi01501	Lchi01501	Lchi01501	Lchi01501
Lchi01491	Lchi01491	Lchi01491	SCL27 [Lchi01491]
Lchi14598	Lchi14598	Lchi14598	Lchi14598
Lchi02233	Lchi02233	Lchi02233	Lchi02233
Lchi20971	Lchi20971	Lchi20971	Lchi20971
Lchi07109	Lchi07109	Lchi07109	Lchi07109
Lchi31297	Lchi31297	Lchi31297	ASIL2 [Lchi31297]
Lchi13821	Lchi13821	Lchi13821	Lchi13821
Lchi06686	Lchi06686	Lchi06686	Lchi06686
Lchi06665	Lchi06665	Lchi06665	Lchi06665
Lchi25294	Lchi25294	Lchi25294	Lchi25294
Lchi11825	Lchi11825	Lchi11825	Lchi11825
Lchi10644	Lchi10644	Lchi10644	Lchi10644
Lchi13532	Lchi13532	Lchi13532	Lchi13532
Lchi13510	Lchi13510	Lchi13510	Lchi13510
Lchi11229	Lchi11229	Lchi11229	Lchi11229
Lchi01370	Lchi01370	Lchi01370	Lchi01370
Lchi23745	Lchi23745	Lchi23745	Lchi23745
Lchi13019	Lchi13019	Lchi13019	Lchi13019
Lchi04059	Lchi04059	Lchi04059	Lchi04059
Lchi17239	Lchi17239	Lchi17239	Lchi17239
Lchi13097	Lchi13097	Lchi13097	Lchi13097
Lchi07737	Lchi07737	Lchi07737	Lchi07737
Lchi24981	Lchi24981	Lchi24981	TIFY6B [Lchi24981]
Lchi24373	Lchi24373	Lchi24373	YABBY4 [Lchi24373]
Lchi27672	Lchi27672	Lchi27672	Lchi27672
Lchi02198	Lchi02198	Lchi02198	HEC1 [Lchi02198]
Lchi29887	Lchi29887	Lchi29887	Lchi29887
Lchi25245	Lchi25245	Lchi25245	Lchi25245
Lchi06775	Lchi06775	Lchi06775	Lchi06775
Lchi01238	Lchi01238	Lchi01238	Lchi01238
Lchi30887	Lchi30887	Lchi30887	Lchi30887
Lchi22404	Lchi22404	Lchi22404	NF-YA1 [Lchi22404]
Lchi06407	Lchi06407	Lchi06407	Lchi06407
Lchi06060	Lchi06060	Lchi06060	SPL7 [Lchi06060]
Lchi18550	Lchi18550	Lchi18550	Lchi18550
Lchi15201	Lchi15201	Lchi15201	Lchi15201
Lchi16402	Lchi16402	Lchi16402	MYB20 [Lchi16402]
Lchi11320	Lchi11320	Lchi11320	bHLH63 [Lchi11320]
Lchi01043	Lchi01043	Lchi01043	YABBY5 [Lchi01043]
Lchi07536	Lchi07536	Lchi07536	Lchi07536
Lchi22934	Lchi22934	Lchi22934	Lchi22934
Lchi26496	Lchi26496	Lchi26496	Lchi26496
Lchi20704	Lchi20704	Lchi20704	Lchi20704
Lchi20729	Lchi20729	Lchi20729	PIF4 [Lchi20729]
Lchi22376	Lchi22376	Lchi22376	Lchi22376
Lchi13837	Lchi13837	Lchi13837	ANT [Lchi13837]
Lchi08832	Lchi08832	Lchi08832	Lchi08832
Lchi19175	Lchi19175	Lchi19175	CSA [Lchi19175]
Lchi08814	Lchi08814	Lchi08814	HSFC1b [Lchi08814]
Lchi12859	Lchi12859	Lchi12859	EMB1444 [Lchi12859]
Lchi22690	Lchi22690	Lchi22690	Lchi22690
Lchi22888	Lchi22888	Lchi22888	Lchi22888
Lchi17924	Lchi17924	Lchi17924	Lchi17924
Lchi12955	Lchi12955	Lchi12955	Lchi12955
Lchi02877	Lchi02877	Lchi02877	SHRM1 [Lchi02877]
Lchi08166	Lchi08166	Lchi08166	Lchi08166
Lchi26947	Lchi26947	Lchi26947	Lchi26947
Lchi12850	Lchi12850	Lchi12850	Lchi12850
Lchi13741	Lchi13741	Lchi13741	Lchi13741
Lchi02202	Lchi02202	Lchi02202	TRAB1 [Lchi02202]
Lchi01643	Lchi01643	Lchi01643	Lchi01643
Lchi24833	Lchi24833	Lchi24833	Lchi24833
Lchi14492	Lchi14492	Lchi14492	Lchi14492
Lchi11807	Lchi11807	Lchi11807	Lchi11807
Lchi22902	Lchi22902	Lchi22902	Lchi22902
Lchi11105	Lchi11105	Lchi11105	Lchi11105
Lchi11711	Lchi11711	Lchi11711	Lchi11711
Lchi13353	Lchi13353	Lchi13353	Lchi13353
Lchi04049	Lchi04049	Lchi04049	Lchi04049
Lchi14874	Lchi14874	Lchi14874	NF-YA10 [Lchi14874]
Lchi11629	Lchi11629	Lchi11629	Lchi11629
Lchi26173	Lchi26173	Lchi26173	Lchi26173
Lchi17053	Lchi17053	Lchi17053	Lchi17053
Lchi01404	Lchi01404	Lchi01404	Lchi01404
Lchi15602	Lchi15602	Lchi15602	Lchi15602
Lchi05688	Lchi05688	Lchi05688	Lchi05688
Lchi05297	Lchi05297	Lchi05297	Lchi05297
Lchi13411	Lchi13411	Lchi13411	Lchi13411
