file	species_dataset	matrix_type	sample_columns	size_bytes	sha256
Camellia_oleifera__cpm.tsv.gz	Camellia_oleifera	cpm	24	2525087	856133861ad599588b9a003e93698d5e09180496dced98310260cb79d3ed6ef8
Camellia_oleifera__fpkm.tsv.gz	Camellia_oleifera	fpkm	24	4534789	4bca60ebc541573f731b26d41e108b8289ac8a1ec686714dc27b2d2a127ade12
Camellia_oleifera__readcount.tsv.gz	Camellia_oleifera	readcount	24	1059781	a9350efdfa4bd12591595da4691d483b176845d7ed9c1dc8ac8be97a0001497c
Castanea_mollissima__cpm.tsv.gz	Castanea_mollissima	cpm	18	1374908	351dc846d6af44cb221713c3e0d0cb5cd569d5ecead5beb1a7341947e3c31ed6
Castanea_mollissima__fpkm.tsv.gz	Castanea_mollissima	fpkm	18	2388986	48d2de4687ef010da1a29eb5c3b4b3255cc3df7d42b730001e41eeff8a048c88
Castanea_mollissima__readcount.tsv.gz	Castanea_mollissima	readcount	18	629734	a0f16d77a20461a8c8e956496ee63b7e2b76b9bc83c8d3122b0d686198b667ce
Cunninghamia_lanceolata__cpm.tsv.gz	Cunninghamia_lanceolata	cpm	45	3935367	cf1c16baba6f736e7fdb7c29305ea537e6ed73564931a2b2d9a332f104f2d0cd
Cunninghamia_lanceolata__fpkm.tsv.gz	Cunninghamia_lanceolata	fpkm	45	4272259	f22d0f84c32f5fcf7c779cc447ea70a5987f0c6d5584cdd74fb77ff2231cdbad
Cunninghamia_lanceolata__readcount.tsv.gz	Cunninghamia_lanceolata	readcount	45	1413308	2f065b372e1e6704a95b107d3b9c7c04ae1b449029b2617e6a81d3a608b24e74
Hippeastrum_sp__cpm.tsv.gz	Hippeastrum_sp	cpm	12	8447405	cfd7d1ca398f1378573754f820faba0c372ea7ffe746b4f0bd209091836d48d2
Hippeastrum_sp__fpkm.tsv.gz	Hippeastrum_sp	fpkm	12	12516039	cdfc5e1dea568cfa9e048a703e867a5d42035f60cd5e4b80829ad700272f047b
Hippeastrum_sp__readcount.tsv.gz	Hippeastrum_sp	readcount	12	8291363	1b0fb5ddc57f4a7984e0b2c4d9022617335a33eb4635d9d542b73675f0561de0
Liquidambar_formosana__cpm.tsv.gz	Liquidambar_formosana	cpm	30	3386110	769c0d2b27d30b9044c57c2962b9cfcd7a53c34fba58a96bf9a4296ffb040f34
Liquidambar_formosana__fpkm.tsv.gz	Liquidambar_formosana	fpkm	30	6143249	2cc55ab3f09de46aac5d820b6d1dd1ae959080a99db2fa9465ffa447abf1976b
Liquidambar_formosana__readcount.tsv.gz	Liquidambar_formosana	readcount	30	1385628	339adf25ff32aa765ce599fde2962d40413b7103839c1adcca00b5138f40274a
Liriodendron_hybrid__cpm.tsv.gz	Liriodendron_hybrid	cpm	33	3516911	802b6e3a8188c82fe534d2e33b947dd5e54880aa54b93c9c6167da6be9c9f233
Liriodendron_hybrid__fpkm.tsv.gz	Liriodendron_hybrid	fpkm	33	6634514	6f134ab980fdd9704aa3f2be90fb65a30d7c92bdd645d76cba5545c77962dc2e
Liriodendron_hybrid__readcount.tsv.gz	Liriodendron_hybrid	readcount	33	1351145	12782bbed3a8d47f952323dd73b741281278aa9b061102604f1b3495a4773896
Picea_abies__cpm.tsv.gz	Picea_abies	cpm	24	4051318	a86d530f645f47c5950ae13e53bc3f36f80c4fb8512b92ffab7bc1a1c433dad9
Picea_abies__fpkm.tsv.gz	Picea_abies	fpkm	24	8707485	042588db7de3c814a751734084af1a3be65ee531e64986f9d6a5c0d25c2204ae
Picea_abies__readcount.tsv.gz	Picea_abies	readcount	24	1594005	769291af7ba96ae89758c3b9dff8068fe3e20ec356247db1acc47257df9b4e91
Quercus_suber__cpm.tsv.gz	Quercus_suber	cpm	4	544486	fe34a489a430b4cd4f911f3d72dbf7eae09f90ebcbf18becf4c22dd3d03c8f04
Quercus_suber__fpkm.tsv.gz	Quercus_suber	fpkm	4	955303	b9a2a0c11186da8387120c1f1c409737acb16d77db445c215e91225c7044d848
Quercus_suber__readcount.tsv.gz	Quercus_suber	readcount	4	317207	819dbf023bf9cd27647af35a0f8ea5905bc1a411d1483b9697ca52b1e586a934
Vitis_vinifera__cpm.tsv.gz	Vitis_vinifera	cpm	40	3984000	de0ca4c92cdf3bba0d28e3c984264615414593359185b83f499e13aeb130f844
Vitis_vinifera__fpkm.tsv.gz	Vitis_vinifera	fpkm	40	7414417	1bac9e1847b75a60ae2ff798d7c0d9a91662f75e9fc7d571018beaa898d9edd7
Vitis_vinifera__readcount.tsv.gz	Vitis_vinifera	readcount	40	1515881	c26d849cfa7c5a7d097e9e9e8997ecaa8fc2f5b7c40b9e8015bf8b2cb033a9fd
Zea_mays__cpm.tsv.gz	Zea_mays	cpm	9	1196395	1315c87ff22c4755fee27ba212e874bcb328a1835477c3511165f5839f609520
Zea_mays__fpkm.tsv.gz	Zea_mays	fpkm	9	2284580	6b0bc21b37d2fa9da28397715ca7f3cc3bd0b6166c6ff78a484c6e07ebffe270
Zea_mays__readcount.tsv.gz	Zea_mays	readcount	9	567903	b6eaf924592f8af8340c529ea16bbc4d521f08003a894acbf3e521a3d22dbf1d
