Taxon	Contrast	Later group	Earlier group	n (later)	n (earlier)	Upregulated	Downregulated	R version	DESeq2 version	Design	Prefilter	Adjusted P threshold	Absolute log2FC threshold	Source payload
Castanea mollissima	Globular_vs_Callus	Globular	Callus	3	3	1803	929	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cm.json.gz
Castanea mollissima	Heart_vs_Globular	Heart	Globular	3	3	1044	810	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cm.json.gz
Castanea mollissima	Torpedo_vs_Heart	Torpedo	Heart	3	3	116	110	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cm.json.gz
Castanea mollissima	Cotyledon_vs_Torpedo	Cotyledon	Torpedo	3	3	1353	1504	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cm.json.gz
Liriodendron hybrid	Globular_vs_Callus	Globular	Callus	3	3	2857	2607	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Lc.json.gz
Liriodendron hybrid	Heart_vs_Globular	Heart	Globular	3	3	3699	1318	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Lc.json.gz
Liriodendron hybrid	Torpedo_vs_Heart	Torpedo	Heart	3	3	1333	2785	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Lc.json.gz
Liriodendron hybrid	Cotyledon_vs_Torpedo	Cotyledon	Torpedo	3	3	1365	58	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Lc.json.gz
Vitis vinifera	Globular_vs_Callus	Globular	Callus	3	3	427	271	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Vv.json.gz
Vitis vinifera	Heart_vs_Globular	Heart	Globular	3	3	2121	2127	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Vv.json.gz
Vitis vinifera	Torpedo_vs_Heart	Torpedo	Heart	3	3	2478	1813	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Vv.json.gz
Vitis vinifera	Cotyledon_vs_Torpedo	Cotyledon	Torpedo	3	3	1386	344	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Vv.json.gz
Cunninghamia lanceolata	CK_1d_vs_Callus_0d	CK_1d	Callus_0d	3	3	1663	1758	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_3d_vs_CK_1d	CK_3d	CK_1d	3	3	1298	444	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_5d_vs_CK_3d	CK_5d	CK_3d	3	3	574	765	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_7d_vs_CK_5d	CK_7d	CK_5d	3	3	813	437	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_15d_vs_CK_7d	CK_15d	CK_7d	3	3	843	1417	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_30d_vs_CK_15d	CK_30d	CK_15d	3	3	469	933	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Cunninghamia lanceolata	CK_40d_vs_CK_30d	CK_40d	CK_30d	3	3	270	38	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Cula.json.gz
Hippeastrum sp.	L10_L0	L10	L0	3	3	18091	13184	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Hip.json.gz
Hippeastrum sp.	L20_L10	L20	L10	3	3	2149	2811	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Hip.json.gz
Hippeastrum sp.	L30_L20	L30	L20	3	3	4361	4656	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Hip.json.gz
Zea mays	EC_IE	EC	IE	3	3	5117	2662	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Zma.json.gz
Zea mays	SE_EC	SE	EC	3	3	250	1694	4.5.3	1.50.2	~ stage	raw count >= 10 in at least the smaller-group sample count	0.05	1	deg_Zma.json.gz
