Orthogroup	source	in_orthofinder_single_copy_list	Castanea_mollissima	Cunninghamia_lanceolata_CULA	Liquidambar_formosana	Liriodendron_chinense	Picea_abies	Quercus_suber	Vitis_vinifera
OG0011799	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.10G140300	Cula__CULA08G16380	Lf__L1049_026302	Lc__Lchi03010	Pa__MA_10277392g0010	Qs__XP_023891584.1	Vv__XP_010664278.1
OG0011815	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G060400	Cula__CULA04G23470	Lf__L1049_000571	Lc__Lchi17315	Pa__MA_75192g0010	Qs__XP_023910542.1	Vv__XP_002284668.1
OG0011821	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.03G164500	Cula__CULA07G08720	Lf__L1049_007001	Lc__Lchi00710	Pa__MA_1737g0020	Qs__XP_023928713.2	Vv__XP_002268965.1
OG0011823	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G234900	Cula__CULA02G26820	Lf__L1049_024497	Lc__Lchi18190	Pa__MA_131178g0010	Qs__XP_023877674.2	Vv__XP_003633223.1
OG0011828	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G064200	Cula__CULA10G34910	Lf__L1049_000605	Lc__Lchi28759	Pa__MA_13745g0010	Qs__XP_065623367.1	Vv__XP_002282241.3
OG0011830	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.09G094900	Cula__CULA04G42610	Lf__L1049_008513	Lc__Lchi26047	Pa__MA_92610g0010	Qs__XP_023912360.1	Vv__XP_002265437.1
OG0011853	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.10G159000	Cula__CULA02G31510	Lf__L1049_020025	Lc__Lchi04908	Pa__MA_123133g0010	Qs__XP_023913392.1	Vv__XP_002270958.1
OG0011857	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.08G024300	Cula__CULA06G57800	Lf__L1049_014044	Lc__Lchi04362	Pa__MA_53054g0010	Qs__XP_023882218.2	Vv__XP_003632132.1
OG0011862	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.04G088800	Cula__CULA11G33260	Lf__L1049_027664	Lc__Lchi03782	Pa__MA_492000g0010	Qs__XP_023885838.1	Vv__XP_002269751.1
OG0011878	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.09G043400	Cula__CULA10G27550	Lf__L1049_009015	Lc__Lchi21843	Pa__MA_93134g0010	Qs__XP_023913344.1	Vv__XP_002283857.1
OG0011880	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.08G101800	Cula__CULA08G32770	Lf__L1049_019031	Lc__Lchi28199	Pa__MA_41289g0010	Qs__XP_023876467.2	Vv__XP_002276021.1
OG0011882	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G164400	Cula__CULA05G13240	Lf__L1049_009152	Lc__Lchi28034	Pa__MA_28618g0010	Qs__XP_023888716.1	Vv__XP_019080189.1
OG0011885	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G083900	Cula__CULA11G31980	Lf__L1049_024470	Lc__Lchi07155	Pa__MA_10431938g0010	Qs__XP_023916975.1	Vv__XP_002262661.3
OG0011887	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.12G120100	Cula__CULA10G11480	Lf__L1049_026222	Lc__Lchi02152	Pa__MA_10434527g0010	Qs__XP_023874378.2	Vv__XP_002284503.3
OG0011890	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.06G021100	Cula__CULA02G43800	Lf__L1049_000884	Lc__Lchi07221	Pa__MA_33008g0010	Qs__XP_023873583.2	Vv__XP_002264297.1
OG0011894	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.07G008700	Cula__CULA07G37420	Lf__L1049_022398	Lc__Lchi02705	Pa__MA_948394g0010	Qs__XP_023884443.2	Vv__XP_002277323.2
OG0011898	one_per_species_in_Orthogroups	no	Cm__CmMahoganyH2.01G243800	Cula__CULA08G25820	Lf__L1049_002822	Lc__Lchi02490	Pa__MA_9934g0010	Qs__XP_065625412.1	Vv__XP_002274559.2
