Orthogroup	source	in_orthofinder_single_copy_list	Castanea_mollissima	Cunninghamia_lanceolata_CULA	Liquidambar_formosana	Liriodendron_chinense	Picea_abies	Quercus_suber	Vitis_vinifera
OG0011799	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G140300	CULA08G16380	L1049_026302	Lchi03010	MA_10277392g0010	XP_023891584.1	XP_010664278.1
OG0011815	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G060400	CULA04G23470	L1049_000571	Lchi17315	MA_75192g0010	XP_023910542.1	XP_002284668.1
OG0011821	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G164500	CULA07G08720	L1049_007001	Lchi00710	MA_1737g0020	XP_023928713.2	XP_002268965.1
OG0011823	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G234900	CULA02G26820	L1049_024497	Lchi18190	MA_131178g0010	XP_023877674.2	XP_003633223.1
OG0011828	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G064200	CULA10G34910	L1049_000605	Lchi28759	MA_13745g0010	XP_065623367.1	XP_002282241.3
OG0011830	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G094900	CULA04G42610	L1049_008513	Lchi26047	MA_92610g0010	XP_023912360.1	XP_002265437.1
OG0011853	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G159000	CULA02G31510	L1049_020025	Lchi04908	MA_123133g0010	XP_023913392.1	XP_002270958.1
OG0011857	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G024300	CULA06G57800	L1049_014044	Lchi04362	MA_53054g0010	XP_023882218.2	XP_003632132.1
OG0011862	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G088800	CULA11G33260	L1049_027664	Lchi03782	MA_492000g0010	XP_023885838.1	XP_002269751.1
OG0011878	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G043400	CULA10G27550	L1049_009015	Lchi21843	MA_93134g0010	XP_023913344.1	XP_002283857.1
OG0011880	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G101800	CULA08G32770	L1049_019031	Lchi28199	MA_41289g0010	XP_023876467.2	XP_002276021.1
OG0011882	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G164400	CULA05G13240	L1049_009152	Lchi28034	MA_28618g0010	XP_023888716.1	XP_019080189.1
OG0011885	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G083900	CULA11G31980	L1049_024470	Lchi07155	MA_10431938g0010	XP_023916975.1	XP_002262661.3
OG0011887	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G120100	CULA10G11480	L1049_026222	Lchi02152	MA_10434527g0010	XP_023874378.2	XP_002284503.3
OG0011890	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G021100	CULA02G43800	L1049_000884	Lchi07221	MA_33008g0010	XP_023873583.2	XP_002264297.1
OG0011894	one_per_species_in_Orthogroups	no	CmMahoganyH2.07G008700	CULA07G37420	L1049_022398	Lchi02705	MA_948394g0010	XP_023884443.2	XP_002277323.2
OG0011898	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G243800	CULA08G25820	L1049_002822	Lchi02490	MA_9934g0010	XP_065625412.1	XP_002274559.2
OG0011907	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G135700	CULA07G53430	L1049_004055	Lchi00060	MA_414920g0010	XP_023895734.2	XP_010652336.1
OG0011908	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G077300	CULA04G35060	L1049_013840	Lchi23364	MA_265196g0010	XP_023921512.2	XP_002285017.1
OG0011910	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G077600	CULA07G48920	L1049_025950	Lchi27817	MA_10435465g0010	XP_065620933.1	XP_002285663.1
OG0011919	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G266300	CULA07G37980	L1049_002347	Lchi07539	MA_10432723g0020	XP_065621232.1	XP_010660886.1
OG0011921	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G076000	CULA04G35930	L1049_020005	Lchi22185	MA_359293g0010	XP_065618797.1	XP_002270792.1
OG0011925	one_per_species_in_Orthogroups	yes	CmMahoganyH2.08G025800	CULA02G27160	L1049_012869	Lchi04350	MA_10432139g0010	XP_023892792.1	XP_002278413.1
OG0011943	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G174600	CULA05G31470	L1049_009759	Lchi28052	MA_10427936g0010	XP_023887376.1	XP_002274769.1
OG0011947	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G126700	CULA10G34610	L1049_022680	Lchi15638	MA_94570g0010	XP_023927978.1	XP_002277877.2
OG0011951	one_per_species_in_Orthogroups	no	CmMahoganyH2.07G018200	CULA08G31160	L1049_003353	Lchi16356	MA_10436414g0020	XP_065627263.1	XP_002274388.1
OG0011973	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G074100	CULA11G32470	L1049_026223	Lchi02299	MA_15889g0020	XP_023892927.1	XP_002285696.1
OG0011975	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G153400	CULA09G45810	L1049_026344	Lchi15062	MA_8156728g0010	XP_023917885.1	XP_010664515.1
OG0011986	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G151300	CULA02G11660	L1049_026847	Lchi20326	MA_10101g0010	XP_023919574.2	XP_002268373.1
OG0011988	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G087400	CULA05G37220	L1049_005120	Lchi04421	MA_14836g0010	XP_023908880.2	XP_002269127.1
OG0011995	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G174700	CULA06G35930	L1049_008765	Lchi06102	MA_133281g0010	XP_023916327.1	XP_010653790.1
OG0011996	one_per_species_in_Orthogroups	no	CmMahoganyH2.11G003000	CULA08G35880	L1049_001164	Lchi18189	MA_114043g0010	XP_023901988.2	XP_002263612.1
OG0011998	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G319000	CULA01G55040	L1049_001417	Lchi17418	MA_5075g0010	XP_023876510.1	XP_002267328.2
OG0012001	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G003500	CULA07G24020	L1049_021201	Lchi29957	MA_10038446g0010	XP_023910008.1	XP_002279984.3
OG0012003	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G122300	CULA07G20330	L1049_027004	Lchi01754	MA_10434535g0010	XP_023875591.2	XP_002269515.1
OG0012004	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G130600	CULA02G28560	L1049_022601	Lchi29420	MA_117003g0010	XP_023917858.2	XP_002272607.2
OG0012006	one_per_species_in_Orthogroups	yes	CmMahoganyH2.02G050900	CULA01G32980	L1049_017064	Lchi00296	MA_5791g0010	XP_023898026.2	XP_002272388.1
OG0012007	one_per_species_in_Orthogroups	yes	CmMahoganyH2.03G128000	CULA09G27620	L1049_006159	Lchi19575	MA_173856g0010	XP_023902248.1	XP_003631322.1
OG0012012	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G316500	CULA10G20720	L1049_001014	Lchi10673	MA_9405736g0010	XP_023929429.2	XP_002263200.2
OG0012027	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G024800	CULA02G37330	L1049_013062	Lchi25630	MA_10428580g0010	XP_023882238.1	XP_002278579.1
OG0012029	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G163900	CULA09G12140	L1049_010363	Lchi17745	MA_10432016g0010	XP_023895631.1	XP_010647145.1
OG0012031	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G000400	CULA01G44160	L1049_026616	Lchi01671	MA_93106g0010	XP_065621050.1	XP_002264380.3
OG0012040	one_per_species_in_Orthogroups	yes	CmMahoganyH2.12G096300	CULA10G21240	L1049_002970	Lchi01200	MA_109119g0010	XP_023914730.2	XP_002274994.1
OG0012066	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G158900	CULA02G12510	L1049_025455	Lchi20289	MA_960119g0010	XP_065623194.1	XP_002264617.2
OG0012067	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G293400	CULA09G38370	L1049_001365	Lchi01018	MA_184872g0010	XP_065624273.1	XP_002280953.1
OG0012069	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G105200	CULA11G31550	L1049_007062	Lchi26337	MA_33582g0010	XP_065625144.1	XP_003631230.1
OG0012076	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G008500	CULA09G34780	L1049_021289	Lchi14810	MA_10427627g0010	XP_065625241.1	XP_002276273.1
OG0012078	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G112100	CULA01G74960	L1049_019959	Lchi02121	MA_10113879g0010	XP_023885181.2	XP_002275141.2
