id	gene_id	original_gene_id	display_label	annotation	node_role_corrected	standard_name_or_gene_family	family_or_functional_category	color_hex
Lchi23901	Lchi23901	Lchi23901	BBX20 [Lchi23901]	B-box zinc finger protein 20-like	transcription_factor	BBX20	BBX	#FF7F0E
Lchi16235	Lchi16235	Lchi16235	Lchi16235	beta-glucosidase 44-like	target_gene	Beta-glucosidase	Carbohydrate/cell wall	#4DAF4A
Lchi17443	Lchi17443	Lchi17443	Lchi17443	plant/F18G18-20 protein	target_gene	plant/F18G18-20 protein	Other/unclear	#BDBDBD
Lchi17168	Lchi17168	Lchi17168	Lchi17168	thiamine thiazole synthase 2, chloroplastic-like	target_gene	Thiamine thiazole synthase	Primary metabolism	#A65628
Lchi18724	Lchi18724	Lchi18724	Lchi18724	protein DETOXIFICATION 33-like	target_gene	MATE/DTX transporter	Transport and membrane	#377EB8
Lchi17615	Lchi17615	Lchi17615	Lchi17615	zinc finger CCCH domain-containing protein 53-like isoform X2	target_gene	CCCH zinc-finger RNA-binding protein	Nucleic acid/organelle	#8DA0CB
Lchi25188	Lchi25188	Lchi25188	Lchi25188	villin-1 isoform X1	target_gene	Villin	Cytoskeleton/cell organization	#00A6D6
Lchi14169	Lchi14169	Lchi14169	Lchi14169	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2	target_gene	HMG/CHA aldolase	Primary metabolism	#A65628
Lchi28705	Lchi28705	Lchi28705	Lchi28705	oleosin S1-2	target_gene	Oleosin	Lipid/sterol/storage	#66C2A5
Lchi05599	Lchi05599	Lchi05599	Lchi05599	protein kinase PINOID 2	target_gene	PINOID/AGC kinase	Hormone signaling/metabolism	#E41A1C
Lchi08727	Lchi08727	Lchi08727	Lchi08727	LAX3-1	target_gene	AUX1/LAX auxin influx carrier	Hormone signaling/metabolism	#E41A1C
Lchi11642	Lchi11642	Lchi11642	Lchi11642	arogenate dehydrogenase 2, chloroplastic-like	target_gene	Arogenate dehydrogenase	Primary metabolism	#A65628
Lchi16615	Lchi16615	Lchi16615	Lchi16615	germin-like protein 5-1	target_gene	Germin-like protein	Stress/defense/maturation	#E6AB02
Lchi25772	Lchi25772	Lchi25772	Lchi25772	cysteine proteinase inhibitor 5-like	target_gene	Cystatin/protease inhibitor	Protein turnover/modification	#F781BF
Lchi02953	Lchi02953	Lchi02953	ATHB13 [Lchi02953]	homeobox-leucine zipper protein ATHB-13-like isoform X1	transcription_factor	ATHB13	HD-ZIP	#9467BD
Lchi07386	Lchi07386	Lchi07386	Lchi07386	potassium transporter 2	target_gene	Potassium transporter	Transport and membrane	#377EB8
Lchi05513	Lchi05513	Lchi05513	Lchi05513	methyl-CpG-binding domain-containing protein 11-like isoform X1	target_gene	MBD chromatin protein	Nucleic acid/organelle	#8DA0CB
Lchi27946	Lchi27946	Lchi27946	Lchi27946	receptor protein kinase CLAVATA1	target_gene	CLV1 LRR receptor kinase	Receptor/kinase signaling	#FF7F00
Lchi04752	Lchi04752	Lchi04752	Lchi04752	ABC transporter-like protein	target_gene	ABC transporter	Transport and membrane	#377EB8
Lchi07566	Lchi07566	Lchi07566	LBD25 [Lchi07566]	LOB domain-containing protein 25-like isoform X3	transcription_factor	LBD25	LBD	#E377C2
Lchi07558	Lchi07558	Lchi07558	Lchi07558	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4	target_gene	LRR receptor-like kinase	Receptor/kinase signaling	#FF7F00
Lchi11589	Lchi11589	Lchi11589	Lchi11589	ribonuclease 3-like	target_gene	Ribonuclease	Nucleic acid/organelle	#8DA0CB
Lchi11374	Lchi11374	Lchi11374	Lchi11374	dehydrin/lea group 2-like protein	target_gene	LEA/dehydrin	Stress/defense/maturation	#E6AB02
Lchi26693	Lchi26693	Lchi26693	ZF-HD1 [Lchi26693]	zinc-finger homeodomain protein 1-like	transcription_factor_reclassified	ZF-HD1	ZF-HD	#6B5B95
