orthogroup	partner_species	reference_species	reference_id	partner_id	category	has_reference_model	has_partner_model	reference_primary	partner_primary	reference_seqid	reference_start	reference_end	reference_strand	reference_rank	partner_seqid	partner_start	partner_end	partner_strand	partner_rank	local_support	collinear_orientation	is_collinear	collinear_block_id	collinear_block_size	reference_cds_ok	partner_cds_ok	ka	ks	kaks	kaks_method	aligned_codons	aa_identity	status	reference_cds_len	partner_cds_len	is_collinear_bool
OG0005936	Camellia_oleifera	Liriodendron_chinense	Lchi21720	augustus_masked-HiC_scaffold_13-processed-gene-1228.3-mRNA-1	background	True	True	Lchi21720	augustus_masked-HiC_scaffold_13-processed-gene-1228.3-mRNA-1	chr1	10651724	10694010	+	323	HiC_scaffold_13	122882939	122883592	+	3519	3	1	True	block_1	4	False	True							missing_cds			True
OG0016071	Camellia_oleifera	Liriodendron_chinense	Lchi21731	maker-HiC_scaffold_13-snap-gene-1232.0-mRNA-1	background	True	True	Lchi21731	maker-HiC_scaffold_13-snap-gene-1232.0-mRNA-1	chr1	11113915	11115043	+	334	HiC_scaffold_13	123224704	123231582	+	3534	3	1	True	block_1	4	True	False							missing_cds			True
OG0006087	Camellia_oleifera	Liriodendron_chinense	Lchi00680	genemark-HiC_scaffold_8-processed-gene-1222.77-mRNA-1	background	True	True	Lchi00680	genemark-HiC_scaffold_8-processed-gene-1222.77-mRNA-1	chr1	105613056	105618319	+	2167	HiC_scaffold_8	122245037	122255779	+	4506	2	1	True	block_1	3	False	True							missing_cds			True
OG0001695	Camellia_oleifera	Liriodendron_chinense	Lchi00673	maker-HiC_scaffold_8-snap-gene-1225.81-mRNA-1	background	True	True	Lchi00673	maker-HiC_scaffold_8-snap-gene-1225.81-mRNA-1	chr1	105854578	105856385	-	2174	HiC_scaffold_8	122586433	122589005	-	4523	2	1	True	block_1	3	False	False							missing_cds			True
OG0003399	Camellia_oleifera	Liriodendron_chinense	Lchi06129	snap_masked-HiC_scaffold_1-processed-gene-1408.15-mRNA-1	background	True	True	Lchi06129	snap_masked-HiC_scaffold_1-processed-gene-1408.15-mRNA-1	chr1	113358547	113358992	-	2448	HiC_scaffold_1	140821009	140821215	+	4742	2	-1	True	block_1	3	True	True	0.2509268077466814	3.886268628259616	0.06456754067951646	ML	66.0	0.6307692307692307	ok	198.0	204.0	True
OG0000471	Camellia_oleifera	Liriodendron_chinense	Lchi06405	maker-HiC_scaffold_5-snap-gene-40.24-mRNA-1	background	True	True	Lchi06405	maker-HiC_scaffold_5-snap-gene-40.24-mRNA-1	chr10	5078053	5090370	-	191	HiC_scaffold_5	3991259	3995526	-	162	2	1	True	block_1	4	False	False							missing_cds			True
OG0011521	Camellia_oleifera	Liriodendron_chinense	Lchi06422	snap_masked-HiC_scaffold_5-processed-gene-43.25-mRNA-1	background	True	True	Lchi06422	snap_masked-HiC_scaffold_5-processed-gene-43.25-mRNA-1	chr10	5511787	5523460	+	208	HiC_scaffold_5	4335931	4341912	+	180	3	1	True	block_1	4	False	False							missing_cds			True
OG0006855	Camellia_oleifera	Liriodendron_chinense	Lchi20792	maker-HiC_scaffold_6-snap-gene-1038.5-mRNA-1	background	True	True	Lchi20792	maker-HiC_scaffold_6-snap-gene-1038.5-mRNA-1	chr10	7620607	7624226	-	268	HiC_scaffold_6	103782158	103790784	-	3030	2	1	True	block_1	3	False	False							missing_cds			True
OG0008851	Camellia_oleifera	Liriodendron_chinense	Lchi20778	maker-HiC_scaffold_6-snap-gene-1038.4-mRNA-1	background	True	True	Lchi20778	maker-HiC_scaffold_6-snap-gene-1038.4-mRNA-1	chr10	8104891	8106805	+	282	HiC_scaffold_6	103884926	103888144	+	3038	2	1	True	block_1	3	False	False							missing_cds			True
OG0004643	Camellia_oleifera	Liriodendron_chinense	Lchi04577	maker-HiC_scaffold_8-snap-gene-88.7-mRNA-2	background	True	True	Lchi04577	maker-HiC_scaffold_8-snap-gene-88.7-mRNA-2	chr10	12186783	12190865	-	389	HiC_scaffold_8	8853784	8858294	-	355	4	1	True	block_1	5	False	False							missing_cds			True
