Orthogroup	source	C_mollissima	Liriodendron_hybrid	V_vinifera	n_Cunninghamia_lanceolata_CULA	n_Liquidambar_formosana	n_Picea_abies	n_Quercus_suber
OG0000064	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G168400	Lc__Lchi13911	Vv__XP_002270797.1	65	8	65	0
OG0000158	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G057700	Lc__Lchi17489	Vv__XP_010657563.1	20	2	65	0
OG0000166	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G350300	Lc__Lchi01860	Vv__XP_002276574.1	82	1	1	2
OG0000260	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G090300	Lc__Lchi19197	Vv__XP_002283626.1	64	1	1	1
OG0000309	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G150300	Lc__Lchi08447	Vv__XP_003631271.2	25	1	34	0
OG0000337	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G093400	Lc__Lchi20876	Vv__XP_010647893.1	12	2	41	2
OG0000442	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G160300	Lc__Lchi21389	Vv__XP_002271090.2	35	1	12	1
OG0000530	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G113400	Lc__Lchi02056	Vv__XP_002285886.1	29	0	12	2
OG0000579	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G106500	Lc__Lchi10601	Vv__XP_019074752.1	20	1	17	3
OG0000594	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.11G069400	Lc__Lchi08033	Vv__XP_002275491.1	38	1	1	1
OG0000608	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G110700	Lc__Lchi09448	Vv__XP_002272647.1	6	1	32	1
OG0000618	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G029400	Lc__Lchi22844	Vv__XP_002279739.1	3	0	37	0
OG0000703	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G142200	Lc__Lchi22253	Vv__XP_002283659.1	2	1	33	1
OG0000715	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G091400	Lc__Lchi18604	Vv__XP_002270096.1	28	1	6	1
OG0000736	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G136500	Lc__Lchi22530	Vv__XP_002272315.1	2	2	30	1
OG0000779	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G154100	Lc__Lchi18507	Vv__XP_002263968.1	1	0	32	1
OG0000831	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.11G063800	Lc__Lchi22092	Vv__XP_002276525.1	6	1	25	1
OG0000844	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G068600	Lc__Lchi32219	Vv__YP_567071.1	32	0	0	0
OG0000895	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G101400	Lc__Lchi00981	Vv__XP_010648509.1	15	2	11	3
OG0000997	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G140300	Lc__Lchi28163	Vv__XP_010658251.1	3	1	25	0
OG0001047	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G110800	Lc__Lchi16695	Vv__XP_002273940.1	1	1	26	0
OG0001077	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G078500	Lc__Lchi22666	Vv__XP_019076501.1	0	1	27	0
OG0001095	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G111800	Lc__Lchi11991	Vv__XP_002281162.1	23	1	2	1
OG0001136	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.11G028700	Lc__Lchi28371	Vv__XP_002266248.1	3	3	20	1
OG0001171	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G069200	Lc__Lchi19578	Vv__XP_002282611.1	1	2	19	4
OG0001421	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G127300	Lc__Lchi20230	Vv__XP_010653840.1	15	1	7	1
OG0001548	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G079900	Lc__Lchi03370	Vv__XP_002273002.1	6	3	12	1
OG0001550	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G019400	Lc__Lchi06066	Vv__XP_019081689.1	15	2	3	2
OG0001570	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G062500	Lc__Lchi11890	Vv__XP_002278502.1	5	1	15	1
OG0001605	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G031200	Lc__Lchi22814	Vv__XP_002277304.1	3	12	3	4
OG0001668	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G054000	Lc__Lchi11438	Vv__XP_019071865.1	20	1	0	0
OG0001687	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G193200	Lc__Lchi03112	Vv__XP_002267529.1	15	2	3	1
OG0001702	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G192900	Lc__Lchi29054	Vv__XP_010649866.1	0	1	1	19
OG0001744	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.05G125300	Lc__Lchi07013	Vv__XP_002269609.2	2	1	17	1
OG0001817	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G064200	Lc__Lchi09751	Vv__XP_002268888.1	4	1	10	5
OG0001859	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G097400	Lc__Lchi09608	Vv__XP_002285540.1	1	1	11	7
OG0001881	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G200800	Lc__Lchi25766	Vv__XP_002267299.2	1	4	1	14
OG0001898	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G199400	Lc__Lchi04891	Vv__XP_010661585.1	8	1	10	1
OG0001940	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G085200	Lc__Lchi06716	Vv__XP_002277121.1	5	1	12	1
OG0002017	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G162500	Lc__Lchi20105	Vv__XP_002282668.1	4	1	12	2
OG0002050	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G049200	Lc__Lchi12823	Vv__XP_002283174.1	14	1	3	1
OG0002057	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G152100	Lc__Lchi05180	Vv__XP_010656770.1	2	1	15	1
OG0002109	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.05G113400	Lc__Lchi18045	Vv__XP_019078273.1	14	2	0	2
OG0002130	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G070700	Lc__Lchi26632	Vv__XP_002284786.1	8	1	8	1
OG0002144	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G095800	Lc__Lchi05223	Vv__XP_002280927.1	1	4	12	1
OG0002148	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G158300	Lc__Lchi18648	Vv__XP_002283607.1	9	1	7	1
OG0002161	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G147200	Lc__Lchi07532	Vv__NP_001268195.1	6	3	7	2
OG0002195	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G251600	Lc__Lchi19096	Vv__XP_002263692.1	14	2	1	1
OG0002221	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G121400	Lc__Lchi00692	Vv__XP_010663430.1	1	1	15	1
OG0002234	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G147400	Lc__Lchi02263	Vv__XP_002279347.1	8	1	8	1
OG0002258	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G044000	Lc__Lchi06078	Vv__XP_010647629.1	9	1	6	2
OG0002298	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G135900	Lc__Lchi07544	Vv__XP_002278672.1	2	1	13	1
OG0002397	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G219600	Lc__Lchi00839	Vv__XP_010656233.2	12	1	2	2
OG0002433	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G345800	Lc__Lchi05057	Vv__XP_002269013.2	8	2	6	1
OG0002458	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G170000	Lc__Lchi02434	Vv__XP_002284366.1	13	1	1	2
OG0002507	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G029800	Lc__Lchi06582	Vv__XP_002272418.1	2	1	12	2
OG0002531	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G208800	Lc__Lchi04055	Vv__XP_002273710.2	0	2	12	2
OG0002542	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.11G093200	Lc__Lchi10496	Vv__XP_002269148.1	4	1	9	2
OG0002550	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G143300	Lc__Lchi12663	Vv__XP_010652424.1	13	1	1	1
OG0002565	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G088600	Lc__Lchi19652	Vv__XP_002279960.1	3	1	11	1
OG0002591	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G068600	Lc__Lchi07446	Vv__XP_002270636.1	5	1	9	1
OG0002603	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G095300	Lc__Lchi26011	Vv__XP_002281928.1	9	1	3	3
OG0002612	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G206100	Lc__Lchi29993	Vv__XP_002272810.2	1	1	10	4
OG0002641	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G056500	Lc__Lchi31116	Vv__XP_010664762.1	1	1	10	4
OG0002687	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G121800	Lc__Lchi14029	Vv__XP_002276109.2	1	1	13	1
OG0002712	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G066900	Lc__Lchi25409	Vv__XP_019081933.1	9	1	4	2
OG0002713	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G094700	Lc__Lchi14658	Vv__XP_002265430.1	13	1	1	1
OG0002739	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G164000	Lc__Lchi09384	Vv__XP_019073732.1	10	1	4	1
OG0002841	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G043400	Lc__Lchi06072	Vv__XP_010646526.2	8	1	5	1
OG0002873	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G016600	Lc__Lchi23418	Vv__XP_002268404.1	4	4	4	3
OG0002889	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G256000	Lc__Lchi06947	Vv__XP_002268523.1	2	1	1	11
OG0002980	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G165100	Lc__Lchi00720	Vv__XP_002269144.1	4	1	9	1
OG0002992	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G175300	Lc__Lchi11862	Vv__XP_002284706.1	1	1	12	1
OG0003043	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G161800	Lc__Lchi23065	Vv__XP_002274738.1	2	2	9	2
OG0003044	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G166900	Lc__Lchi24430	Vv__XP_002284404.1	2	2	8	3
OG0003046	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G031900	Lc__Lchi01327	Vv__XP_010664169.1	12	1	1	1
OG0003049	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.11G077400	Lc__Lchi08418	Vv__XP_010661300.1	2	1	11	1
OG0003149	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G124500	Lc__Lchi17925	Vv__XP_002278988.1	1	4	8	1
OG0003173	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G168500	Lc__Lchi12587	Vv__XP_010661126.1	6	2	5	1
OG0003184	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G076800	Lc__Lchi26924	Vv__XP_019072089.1	5	1	7	1
OG0003329	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.02G185100	Lc__Lchi24269	Vv__XP_002263902.1	6	1	6	1
OG0003365	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G137100	Lc__Lchi11413	Vv__XP_010663138.1	1	3	5	5
