pair_id	left_species	left_gene	right_species	right_gene	is_main_pair	is_lchi09014_anchor_pair	is_syntenic	collinearity_block_size	ka	ks	kaks	aa_identity
P0001	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	True	False	False		0.0845334	0.728496	0.116038	0.8662613981762918
P0002	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Liquidambar	KAK9284459.1	True	False	False		0.0672058	0.445333	0.150912	0.8905775075987842
P0003	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Liriodendron_chinense	Lchi09014	True	True	True	7.0	0.0920264	1.79686	0.0512151	0.8541033434650456
P0004	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Liriodendron_chinense	Lchi23640	False	False	False		0.151162	3.49355	0.0432689	0.7628458498023716
P0005	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Picea_abies	MA_491379g0010	True	False	False		0.181247	3.60331	0.0503	0.7215189873417721
P0006	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	QuercusSuber	XP_023926621.1	True	False	False		0.0813142	0.743534	0.109362	0.8723404255319149
P0007	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Vitis_vinifera	XP_002274796.1	True	False	False		0.0702583	0.789722	0.0889659	0.878419452887538
P0008	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Vitis_vinifera	XP_002283699.1	False	False	False		0.0968101	1.13212	0.0855124	0.8419452887537994
P0009	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Zea_mays	NP_001130585.1	True	False	False		0.0957113	4.2985	0.0222662	0.8358662613981763
P0010	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	Zea_mays	NP_001344440.1	False	False	False		0.0913337	4.38605	0.0208237	0.84
P0011	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	False	False	True	7.0	0.0871613	0.917589	0.0949894	0.8554216867469879
P0012	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Liquidambar	KAK9284459.1	False	False	True	8.0	0.0712873	0.641068	0.111201	0.8666666666666667
P0013	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Liriodendron_chinense	Lchi09014	False	True	False		0.0823909	2.12947	0.0386908	0.8580060422960725
P0014	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Liriodendron_chinense	Lchi23640	False	False	False		0.145858	3.57321	0.0408197	0.7786561264822134
P0015	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Picea_abies	MA_491379g0010	False	False	False		0.193392	3.65456	0.052918	0.7071651090342679
P0016	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	QuercusSuber	XP_023926621.1	False	False	False		0.0855046	0.914111	0.0935385	0.858433734939759
P0017	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Vitis_vinifera	XP_002274796.1	False	False	True	7.0	0.0737522	0.843236	0.0874633	0.8761329305135952
P0018	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Vitis_vinifera	XP_002283699.1	False	False	False		0.0836655	1.31707	0.0635241	0.8515151515151516
P0019	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Zea_mays	NP_001130585.1	False	False	False		0.105376	4.40651	0.0239138	0.8162650602409639
P0020	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	Zea_mays	NP_001344440.1	False	False	False		0.100762	4.50333	0.0223751	0.817629179331307
P0021	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Liquidambar	KAK9284459.1	True	False	True	12.0	0.0705062	0.540575	0.130428	0.8731117824773413
P0022	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Liriodendron_chinense	Lchi09014	True	True	True	9.0	0.0634434	2.23611	0.0283722	0.8885542168674698
P0023	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Liriodendron_chinense	Lchi23640	False	False	True	7.0	0.123475	3.43956	0.0358986	0.8032786885245902
P0024	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Picea_abies	MA_491379g0010	True	False	False		0.15009	3.57176	0.0420214	0.7554858934169278
P0025	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	QuercusSuber	XP_023926621.1	True	False	True	9.0	0.0183351	0.0389559	0.470663	0.963963963963964
P0026	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Vitis_vinifera	XP_002274796.1	True	False	True	12.0	0.0651281	0.84138	0.0774062	0.8855421686746988
P0027	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Vitis_vinifera	XP_002283699.1	False	False	False		0.0930177	1.21281	0.0766963	0.8338368580060423
P0028	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Zea_mays	NP_001130585.1	True	False	False		0.108727	4.02055	0.0270428	0.8192771084337349
P0029	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	Zea_mays	NP_001344440.1	False	False	False		0.100544	4.07453	0.0246763	0.8323170731707317
P0030	Liquidambar	KAK9284459.1	Liriodendron_chinense	Lchi09014	True	True	True	28.0	0.0724434	1.92962	0.0375429	0.8610271903323263
P0031	Liquidambar	KAK9284459.1	Liriodendron_chinense	Lchi23640	False	False	True	9.0	0.154292	3.49993	0.0440842	0.7725490196078432
P0032	Liquidambar	KAK9284459.1	Picea_abies	MA_491379g0010	True	False	False		0.165599	3.6614	0.0452282	0.7358490566037735
P0033	Liquidambar	KAK9284459.1	QuercusSuber	XP_023926621.1	True	False	True	10.0	0.0738571	0.561045	0.131642	0.8670694864048338
P0034	Liquidambar	KAK9284459.1	Vitis_vinifera	XP_002274796.1	True	False	True	13.0	0.0590237	0.603634	0.0977806	0.8942598187311178
P0035	Liquidambar	KAK9284459.1	Vitis_vinifera	XP_002283699.1	False	False	False		0.0828106	1.10033	0.0752598	0.8549848942598187
P0036	Liquidambar	KAK9284459.1	Zea_mays	NP_001130585.1	True	False	False		0.119619	4.26431	0.0280513	0.8066465256797583
P0037	Liquidambar	KAK9284459.1	Zea_mays	NP_001344440.1	False	False	False		0.0995449	4.45422	0.0223485	0.8291925465838509
P0038	Liriodendron_chinense	Lchi09014	Picea_abies	MA_491379g0010	True	True	False		0.146486	4.43959	0.0329955	0.7523510971786834
P0039	Liriodendron_chinense	Lchi09014	QuercusSuber	XP_023926621.1	True	True	False		0.0697622	2.82686	0.0246783	0.8765060240963856
P0040	Liriodendron_chinense	Lchi09014	Vitis_vinifera	XP_002274796.1	True	True	True	10.0	0.0661062	2.80702	0.0235504	0.8795180722891566
P0041	Liriodendron_chinense	Lchi09014	Vitis_vinifera	XP_002283699.1	False	True	True	7.0	0.0791962	1.63529	0.0484295	0.8580060422960725
P0042	Liriodendron_chinense	Lchi09014	Zea_mays	NP_001130585.1	True	True	False		0.106376	5.69135	0.0186909	0.8036253776435045
P0043	Liriodendron_chinense	Lchi09014	Zea_mays	NP_001344440.1	False	True	False		0.0987553	5.79391	0.0170447	0.8226299694189603
P0044	Liriodendron_chinense	Lchi23640	Picea_abies	MA_491379g0010	False	False	False		0.191326	4.33882	0.0440963	0.6983471074380165
P0045	Liriodendron_chinense	Lchi23640	QuercusSuber	XP_023926621.1	False	False	False		0.127689	3.44103	0.0371078	0.7991803278688525
P0046	Liriodendron_chinense	Lchi23640	Vitis_vinifera	XP_002274796.1	False	False	True	7.0	0.145644	3.57324	0.0407596	0.7764705882352941
P0047	Liriodendron_chinense	Lchi23640	Vitis_vinifera	XP_002283699.1	False	False	True	12.0	0.13561	3.75844	0.0360814	0.7808764940239044
P0048	Liriodendron_chinense	Lchi23640	Zea_mays	NP_001130585.1	False	False	False		0.148964	5.67097	0.0262678	0.7459016393442623
