Orthogroup	C_lanceolata_gene	P_abies_gene	C_lanceolata_orthofinder_id	P_abies_orthofinder_id
OG0000037	CULA08G28030	MA_6913331g0010	Cula__CULA08G28030	Pa__MA_6913331g0010
OG0000085	CULA09G08620	MA_5097395g0010	Cula__CULA09G08620	Pa__MA_5097395g0010
OG0000115	CULA09G23270	MA_10431774g0010	Cula__CULA09G23270	Pa__MA_10431774g0010
OG0000165	CULA01G52560	MA_106936g0010	Cula__CULA01G52560	Pa__MA_106936g0010
OG0000339	CULA06G16720	MA_50989g0010	Cula__CULA06G16720	Pa__MA_50989g0010
OG0000362	CULA03G67950	MA_6386331g0010	Cula__CULA03G67950	Pa__MA_6386331g0010
OG0000364	CULA04G39480	MA_67380g0010	Cula__CULA04G39480	Pa__MA_67380g0010
OG0000403	CULA03G02770	MA_9055473g0010	Cula__CULA03G02770	Pa__MA_9055473g0010
OG0000457	CULA06G31090	MA_10433816g0010	Cula__CULA06G31090	Pa__MA_10433816g0010
OG0000556	CULA01G69420	MA_9138447g0010	Cula__CULA01G69420	Pa__MA_9138447g0010
OG0000634	CULA07G47410	MA_81188g0010	Cula__CULA07G47410	Pa__MA_81188g0010
OG0000646	CULA01G79590	MA_130348g0010	Cula__CULA01G79590	Pa__MA_130348g0010
OG0000719	CULA03G46080	MA_206006g0010	Cula__CULA03G46080	Pa__MA_206006g0010
OG0000747	CULA04G09110	MA_1191g0010	Cula__CULA04G09110	Pa__MA_1191g0010
OG0000814	CULA06G16770	MA_10426168g0010	Cula__CULA06G16770	Pa__MA_10426168g0010
OG0000855	CULA06G18800	MA_210232g0010	Cula__CULA06G18800	Pa__MA_210232g0010
OG0000858	CULA04G02190	MA_88554g0010	Cula__CULA04G02190	Pa__MA_88554g0010
OG0000927	CULA06G53660	MA_13436g0010	Cula__CULA06G53660	Pa__MA_13436g0010
OG0000957	CULA09G21270	MA_10435174g0010	Cula__CULA09G21270	Pa__MA_10435174g0010
OG0000972	CULA11G12990	MA_128871g0010	Cula__CULA11G12990	Pa__MA_128871g0010
OG0000985	CULA01G51940	MA_10433481g0010	Cula__CULA01G51940	Pa__MA_10433481g0010
