id	gene_id	original_gene_id	gene_annotation
Lchi23901	Lchi23901	Lchi23901	B-box zinc finger protein 20-like
Lchi16235	Lchi16235	Lchi16235	beta-glucosidase 44-like
Lchi17443	Lchi17443	Lchi17443	plant/F18G18-20 protein
Lchi17168	Lchi17168	Lchi17168	thiamine thiazole synthase 2, chloroplastic-like
Lchi18724	Lchi18724	Lchi18724	protein DETOXIFICATION 33-like
Lchi17615	Lchi17615	Lchi17615	zinc finger CCCH domain-containing protein 53-like isoform X2
Lchi25188	Lchi25188	Lchi25188	villin-1 isoform X1
Lchi14169	Lchi14169	Lchi14169	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
Lchi28705	Lchi28705	Lchi28705	oleosin S1-2
Lchi05599	Lchi05599	Lchi05599	protein kinase PINOID 2
Lchi08727	Lchi08727	Lchi08727	LAX3-1
Lchi11642	Lchi11642	Lchi11642	arogenate dehydrogenase 2, chloroplastic-like
Lchi16615	Lchi16615	Lchi16615	germin-like protein 5-1
Lchi25772	Lchi25772	Lchi25772	cysteine proteinase inhibitor 5-like
Lchi02953	Lchi02953	Lchi02953	homeobox-leucine zipper protein ATHB-13-like isoform X1
Lchi07386	Lchi07386	Lchi07386	potassium transporter 2
Lchi05513	Lchi05513	Lchi05513	methyl-CpG-binding domain-containing protein 11-like isoform X1
Lchi27946	Lchi27946	Lchi27946	receptor protein kinase CLAVATA1
Lchi04752	Lchi04752	Lchi04752	ABC transporter-like protein
Lchi07566	Lchi07566	Lchi07566	LOB domain-containing protein 25-like isoform X3
Lchi07558	Lchi07558	Lchi07558	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
Lchi11589	Lchi11589	Lchi11589	ribonuclease 3-like
Lchi11374	Lchi11374	Lchi11374	dehydrin/lea group 2-like protein
Lchi26693	Lchi26693	Lchi26693	zinc-finger homeodomain protein 1-like
Lchi09003	Lchi09003	Lchi09003	allene oxide synthase 1, chloroplastic-like
Lchi00354	Lchi00354	Lchi00354	stress-related protein-like
Lchi15600	Lchi15600	Lchi15600	actin-101
Lchi09693	Lchi09693	Lchi09693	homeobox-leucine zipper protein ATHB-6-like
Lchi25757	Lchi25757	Lchi25757	cytochrome P450 71A1-like
Lchi27397	Lchi27397	Lchi27397	p-coumarate 3-hydroxylase-like
Lchi17921	Lchi17921	Lchi17921	probable polygalacturonase
Lchi06972	Lchi06972	Lchi06972	transcription factor bHLH149-like
Lchi19725	Lchi19725	Lchi19725	glucose and ribitol dehydrogenase-like
Lchi18250	Lchi18250	Lchi18250	transcription factor bHLH93
Lchi25487	Lchi25487	Lchi25487	protein MOTHER of FT and TFL1-like protein
Lchi13937	Lchi13937	Lchi13937	B3 domain-containing protein Os03g0212300-like
Lchi02750	Lchi02750	Lchi02750	LRR receptor-like serine/threonine-protein kinase ERECTA
Lchi12998	Lchi12998	Lchi12998	putative disease resistance protein At5g47280
Lchi06007	Lchi06007	Lchi06007	homeobox-leucine zipper protein HAT2-like
Lchi22877	Lchi22877	Lchi22877	transcription factor AS1
Lchi11647	Lchi11647	Lchi11647	ketol-acid reductoisomerase, chloroplastic-like
Lchi28527	Lchi28527	Lchi28527	heavy metal-associated isoprenylated plant protein 9 isoform X1
Lchi22953	Lchi22953	Lchi22953	aspartyl protease family protein 2
Lchi02670	Lchi02670	Lchi02670	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1
Lchi13371	Lchi13371	Lchi13371	ethylene-responsive transcription factor 4-like
Lchi16999	Lchi16999	Lchi16999	probable polygalacturonase
Lchi08779	Lchi08779	Lchi08779	AP2/ERF and B3 domain-containing transcription repressor RAV2-like
Lchi02035	Lchi02035	Lchi02035	amino acid permease 3-like
Lchi06352	Lchi06352	Lchi06352	polygalacturonase At1g48100
Lchi05990	Lchi05990	Lchi05990	oleosin Cor a 13-like
Lchi31555	Lchi31555	Lchi31555	protein CHUP1, chloroplastic-like isoform X1
Lchi27919	Lchi27919	Lchi27919	non-functional NADPH-dependent codeinone reductase 2-like isoform X1
Lchi28090	Lchi28090	Lchi28090	protein P21-like protein
Lchi15176	Lchi15176	Lchi15176	transcription factor EGL1-like isoform X1
Lchi09565	Lchi09565	Lchi09565	CBL-interacting serine/threonine-protein kinase 6
Lchi15589	Lchi15589	Lchi15589	trihelix transcription factor GTL1 isoform X1
Lchi08487	Lchi08487	Lchi08487	WUSCHEL-related homeobox 9
Lchi04815	Lchi04815	Lchi04815	protein UNUSUAL FLORAL ORGANS-like
Lchi12819	Lchi12819	Lchi12819	E3 ubiquitin-protein ligase RDUF1-like
Lchi01385	Lchi01385	Lchi01385	abscisic acid receptor PYR1-like
Lchi01000	Lchi01000	Lchi01000	V-type proton ATPase subunit B 2 isoform X1
Lchi02104	Lchi02104	Lchi02104	bidirectional sugar transporter SWEET1
Lchi13511	Lchi13511	Lchi13511	auxin-induced protein 22B-like
Lchi16452	Lchi16452	Lchi16452	protein AUXIN SIGNALING F-BOX 2-like
Lchi03719	Lchi03719	Lchi03719	serine carboxypeptidase II-2-like
Lchi00158	Lchi00158	Lchi00158	transcription factor bHLH147
Lchi11837	Lchi11837	Lchi11837	alpha-mannosidase At3g26720-like
Lchi17197	Lchi17197	Lchi17197	oil body-associated protein 1A-like
Lchi01554	Lchi01554	Lchi01554	aquaporin TIP3-1-like
Lchi05992	Lchi05992	Lchi05992	ethylene-responsive transcription factor 2-like
Lchi03143	Lchi03143	Lchi03143	scopoletin glucosyltransferase-like
Lchi17317	Lchi17317	Lchi17317	probable protein phosphatase 2C 52 isoform X1
Lchi24864	Lchi24864	Lchi24864	(S)-coclaurine N-methyltransferase-like isoform X1
Lchi23975	Lchi23975	Lchi23975	Anthocyanidin reductase ((2S)-flavan-3-ol-forming)
Lchi12025	Lchi12025	Lchi12025	protein neprosin-like
Lchi18004	Lchi18004	Lchi18004	transcription factor bHLH13-like isoform X2
Lchi11397	Lchi11397	Lchi11397	lysM domain receptor-like kinase 3
Lchi06116	Lchi06116	Lchi06116	probable galactinol--sucrose galactosyltransferase 2 isoform X1
Lchi16689	Lchi16689	Lchi16689	xyloglucan endotransglucosylase protein 2-like
Lchi06311	Lchi06311	Lchi06311	S-adenosylmethionine synthase 5
Lchi02405	Lchi02405	Lchi02405	serine carboxypeptidase-like 45
Lchi25021	Lchi25021	Lchi25021	heat stress transcription factor A-2b-like
Lchi18761	Lchi18761	Lchi18761	deSI-like protein At4g17486
Lchi02176	Lchi02176	Lchi02176	beta-1,3-galactosyltransferase 7-like
Lchi19388	Lchi19388	Lchi19388	L-type lectin-domain containing receptor kinase VIII.1
Lchi03659	Lchi03659	Lchi03659	probable xyloglucan glycosyltransferase 5
Lchi02551	Lchi02551	Lchi02551	transcription factor bHLH62-like isoform X1
Lchi22140	Lchi22140	Lchi22140	ABC transporter G family member 8-like
Lchi01501	Lchi01501	Lchi01501	proteasome subunit beta type-7-B
Lchi01491	Lchi01491	Lchi01491	scarecrow-like protein 27
Lchi14598	Lchi14598	Lchi14598	pentatricopeptide repeat-containing protein At3g02490, mitochondrial-like isoform X2
Lchi02233	Lchi02233	Lchi02233	cyclin-dependent kinase inhibitor 5-like
Lchi20971	Lchi20971	Lchi20971	UDP-glycosyltransferase 89B2-like
Lchi07109	Lchi07109	Lchi07109	65-kDa microtubule-associated protein 1-like
Lchi31297	Lchi31297	Lchi31297	trihelix transcription factor ASIL2
Lchi13821	Lchi13821	Lchi13821	protein FLX-like 2
Lchi06686	Lchi06686	Lchi06686	desmethyl-yatein O-methyltransferase-like
Lchi06665	Lchi06665	Lchi06665	receptor-like protein 6
Lchi25294	Lchi25294	Lchi25294	subtilisin-like protease SBT1.8
Lchi11825	Lchi11825	Lchi11825	nudix hydrolase 12, mitochondrial-like
Lchi10644	Lchi10644	Lchi10644	GDSL esterase/lipase At3g26430-like
Lchi13532	Lchi13532	Lchi13532	DJ-1 protein homolog E-like
Lchi13510	Lchi13510	Lchi13510	auxin-responsive protein IAA16-like
Lchi11229	Lchi11229	Lchi11229	24-methylenesterol C-methyltransferase 2-like
Lchi01370	Lchi01370	Lchi01370	late embryogenesis abundant protein 6
Lchi23745	Lchi23745	Lchi23745	allene oxide cyclase, chloroplastic-like
Lchi13019	Lchi13019	Lchi13019	O-fucosyltransferase 31-like
Lchi04059	Lchi04059	Lchi04059	protein DETOXIFICATION 49-like
Lchi17239	Lchi17239	Lchi17239	non-symbiotic hemoglobin 2
Lchi13097	Lchi13097	Lchi13097	glycosylinositol phosphorylceramide mannosyl transferase 1-like
Lchi07737	Lchi07737	Lchi07737	phenylalanine N-monooxygenase-like
Lchi24981	Lchi24981	Lchi24981	protein TIFY 6B isoform X2
Lchi24373	Lchi24373	Lchi24373	protein YABBY 4-like
Lchi27672	Lchi27672	Lchi27672	acyltransferase GLAUCE
Lchi02198	Lchi02198	Lchi02198	transcription factor HEC1-like
Lchi29887	Lchi29887	Lchi29887	geraniol 8-hydroxylase-like
Lchi25245	Lchi25245	Lchi25245	myosin-binding protein 7-like
Lchi06775	Lchi06775	Lchi06775	18 kDa seed maturation protein-like
Lchi01238	Lchi01238	Lchi01238	WEB family protein At3g02930, chloroplastic-like isoform X1
Lchi30887	Lchi30887	Lchi30887	peamaclein-like
Lchi22404	Lchi22404	Lchi22404	nuclear transcription factor Y subunit A-1-like isoform X2
Lchi06407	Lchi06407	Lchi06407	GDSL esterase/lipase At4g16230-like isoform X1
Lchi06060	Lchi06060	Lchi06060	squamosa promoter-binding-like protein 7
Lchi18550	Lchi18550	Lchi18550	probable BOI-related E3 ubiquitin-protein ligase 3
Lchi15201	Lchi15201	Lchi15201	aquaporin PIP1-3
Lchi16402	Lchi16402	Lchi16402	transcription factor MYB20-like
Lchi11320	Lchi11320	Lchi11320	transcription factor bHLH63-like
Lchi01043	Lchi01043	Lchi01043	axial regulator YABBY 5-like
Lchi07536	Lchi07536	Lchi07536	protein NSP-INTERACTING KINASE 3
Lchi22934	Lchi22934	Lchi22934	seipin-1
Lchi26496	Lchi26496	Lchi26496	late embryogenisis abundant protein 4
Lchi20704	Lchi20704	Lchi20704	alpha-glucosidase-like
Lchi20729	Lchi20729	Lchi20729	transcription factor PIF4-like isoform X2
Lchi22376	Lchi22376	Lchi22376	O-fucosyltransferase 31-like
Lchi13837	Lchi13837	Lchi13837	AINTEGUMENTA
Lchi08832	Lchi08832	Lchi08832	NDR1/HIN1-like protein 6
Lchi19175	Lchi19175	Lchi19175	transcription factor CSA-like
Lchi08814	Lchi08814	Lchi08814	heat stress transcription factor C-1b-like
Lchi12859	Lchi12859	Lchi12859	transcription factor EMB1444-like isoform X2
Lchi22690	Lchi22690	Lchi22690	abscisic stress-ripening protein 2-like
Lchi22888	Lchi22888	Lchi22888	metallothionein-like protein type 2
Lchi17924	Lchi17924	Lchi17924	beta-carotene hydroxylase 2, chloroplastic-like
Lchi12955	Lchi12955	Lchi12955	beta-glucosidase 46-like
Lchi02877	Lchi02877	Lchi02877	protein SHORT ROOT IN SALT MEDIUM 1 isoform X2
Lchi08166	Lchi08166	Lchi08166	protein ENHANCED DISEASE RESISTANCE 2-like isoform X1
Lchi26947	Lchi26947	Lchi26947	alcohol dehydrogenase 1-like isoform X1
Lchi12850	Lchi12850	Lchi12850	ABA-hypersensitive germination 3
Lchi13741	Lchi13741	Lchi13741	O-fucosyltransferase 7-like isoform X1
Lchi02202	Lchi02202	Lchi02202	bZIP transcription factor TRAB1-like isoform X1
Lchi01643	Lchi01643	Lchi01643	two-component response regulator ORR1-like
Lchi24833	Lchi24833	Lchi24833	kinesin-like protein KIN-14B isoform X1
Lchi14492	Lchi14492	Lchi14492	histidine-containing phosphotransfer protein 1-like
Lchi11807	Lchi11807	Lchi11807	pentatricopeptide repeat-containing protein DOT4, chloroplastic-like
Lchi22902	Lchi22902	Lchi22902	DNA repair RAD52-like protein 2, chloroplastic
Lchi11105	Lchi11105	Lchi11105	nucleolin 2-like isoform X3
Lchi11711	Lchi11711	Lchi11711	rac-like GTP-binding protein 5
Lchi13353	Lchi13353	Lchi13353	auxin-responsive protein IAA14-like
Lchi04049	Lchi04049	Lchi04049	major latex protein 146-like
Lchi14874	Lchi14874	Lchi14874	nuclear transcription factor Y subunit A-10-like isoform X2
Lchi11629	Lchi11629	Lchi11629	protein SCAR3-like isoform X2
