rank	source	target	interaction	pearson_r	abs_r	correlation_sign	source_degree	target_degree	core_score	source_annotation	target_annotation
1	Lchi23901	Lchi16235	positive_coexpression	0.99048859	0.99048859	positive	1111	181	444.16649377	B-box zinc finger protein 20-like	beta-glucosidase 44-like
2	Lchi23901	Lchi17443	positive_coexpression	0.99044669	0.99044669	positive	1111	181	444.14770448	B-box zinc finger protein 20-like	plant/F18G18-20 protein
3	Lchi23901	Lchi17168	positive_coexpression	0.99678719	0.99678719	positive	1111	177	442.02426508	B-box zinc finger protein 20-like	thiamine thiazole synthase 2, chloroplastic-like
4	Lchi23901	Lchi18724	positive_coexpression	0.99134737	0.99134737	positive	1111	178	440.85207512	B-box zinc finger protein 20-like	protein DETOXIFICATION 33-like
5	Lchi23901	Lchi17615	positive_coexpression	0.98878747	0.98878747	positive	1111	177	438.47679739	B-box zinc finger protein 20-like	zinc finger CCCH domain-containing protein 53-like isoform X2
6	Lchi23901	Lchi25188	positive_coexpression	0.98803091	0.98803091	positive	1111	177	438.14130163	B-box zinc finger protein 20-like	villin-1 isoform X1
7	Lchi23901	Lchi14169	positive_coexpression	0.99647194	0.99647194	positive	1111	174	438.12368053	B-box zinc finger protein 20-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
8	Lchi23901	Lchi28705	positive_coexpression	0.99290413	0.99290413	positive	1111	174	436.55500409	B-box zinc finger protein 20-like	oleosin S1-2
9	Lchi23901	Lchi05599	positive_coexpression	0.98627472	0.98627472	positive	1111	176	436.12528363	B-box zinc finger protein 20-like	protein kinase PINOID 2
10	Lchi23901	Lchi08727	positive_coexpression	0.98342270	0.98342270	positive	1111	177	436.09779559	B-box zinc finger protein 20-like	LAX3-1
11	Lchi23901	Lchi11642	positive_coexpression	0.97439396	0.97439396	positive	1111	180	435.74043763	B-box zinc finger protein 20-like	arogenate dehydrogenase 2, chloroplastic-like
12	Lchi23901	Lchi16615	positive_coexpression	0.99374360	0.99374360	positive	1111	173	435.66675982	B-box zinc finger protein 20-like	germin-like protein 5-1
13	Lchi23901	Lchi25772	positive_coexpression	0.97670203	0.97670203	positive	1111	179	435.55763934	B-box zinc finger protein 20-like	cysteine proteinase inhibitor 5-like
14	Lchi02953	Lchi16235	positive_coexpression	0.98678702	0.98678702	positive	1070	181	434.26477613	homeobox-leucine zipper protein ATHB-13-like isoform X1	beta-glucosidase 44-like
15	Lchi23901	Lchi07386	positive_coexpression	0.98201013	0.98201013	positive	1111	176	434.23950527	B-box zinc finger protein 20-like	potassium transporter 2
16	Lchi23901	Lchi05513	positive_coexpression	0.97863555	0.97863555	positive	1111	177	433.97493880	B-box zinc finger protein 20-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
17	Lchi23901	Lchi27946	positive_coexpression	0.97539181	0.97539181	positive	1111	178	433.75663921	B-box zinc finger protein 20-like	receptor protein kinase CLAVATA1
18	Lchi23901	Lchi04752	positive_coexpression	0.99803340	0.99803340	positive	1111	170	433.73709430	B-box zinc finger protein 20-like	ABC transporter-like protein
19	Lchi07566	Lchi18724	positive_coexpression	0.99893969	0.99893969	positive	1059	178	433.70781733	LOB domain-containing protein 25-like isoform X3	protein DETOXIFICATION 33-like
20	Lchi07566	Lchi16235	positive_coexpression	0.98985445	0.98985445	positive	1059	181	433.36976381	LOB domain-containing protein 25-like isoform X3	beta-glucosidase 44-like
21	Lchi02953	Lchi17443	positive_coexpression	0.98473787	0.98473787	positive	1070	181	433.36298714	homeobox-leucine zipper protein ATHB-13-like isoform X1	plant/F18G18-20 protein
22	Lchi23901	Lchi07558	positive_coexpression	0.99265236	0.99265236	positive	1111	171	432.66549743	B-box zinc finger protein 20-like	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
23	Lchi23901	Lchi11589	positive_coexpression	0.98964739	0.98964739	positive	1111	172	432.61516233	B-box zinc finger protein 20-like	ribonuclease 3-like
24	Lchi07566	Lchi17443	positive_coexpression	0.98787636	0.98787636	positive	1059	181	432.50373305	LOB domain-containing protein 25-like isoform X3	plant/F18G18-20 protein
25	Lchi23901	Lchi11374	positive_coexpression	0.98938054	0.98938054	positive	1111	172	432.49851133	B-box zinc finger protein 20-like	dehydrin/lea group 2-like protein
26	Lchi23901	Lchi26693	positive_coexpression	0.97469544	0.97469544	positive	1111	177	432.22770103	B-box zinc finger protein 20-like	zinc-finger homeodomain protein 1-like
27	Lchi02953	Lchi18724	positive_coexpression	0.99009097	0.99009097	positive	1070	178	432.09276012	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein DETOXIFICATION 33-like
28	Lchi23901	Lchi09003	positive_coexpression	0.97658217	0.97658217	positive	1111	176	431.83929106	B-box zinc finger protein 20-like	allene oxide synthase 1, chloroplastic-like
29	Lchi23901	Lchi00354	positive_coexpression	0.98165691	0.98165691	positive	1111	174	431.60988399	B-box zinc finger protein 20-like	stress-related protein-like
30	Lchi02953	Lchi17168	positive_coexpression	0.99116802	0.99116802	positive	1070	177	431.34602788	homeobox-leucine zipper protein ATHB-13-like isoform X1	thiamine thiazole synthase 2, chloroplastic-like
31	Lchi07566	Lchi11642	positive_coexpression	0.98741215	0.98741215	positive	1059	180	431.10464224	LOB domain-containing protein 25-like isoform X3	arogenate dehydrogenase 2, chloroplastic-like
32	Lchi02953	Lchi11642	positive_coexpression	0.98139256	0.98139256	positive	1070	180	430.69606374	homeobox-leucine zipper protein ATHB-13-like isoform X1	arogenate dehydrogenase 2, chloroplastic-like
33	Lchi23901	Lchi15600	positive_coexpression	0.99672556	0.99672556	positive	1111	168	430.61312785	B-box zinc finger protein 20-like	actin-101
34	Lchi09693	Lchi17443	positive_coexpression	0.99577159	0.99577159	positive	1033	181	430.57536619	homeobox-leucine zipper protein ATHB-6-like	plant/F18G18-20 protein
35	Lchi07566	Lchi25772	positive_coexpression	0.98867476	0.98867476	positive	1059	179	430.45518426	LOB domain-containing protein 25-like isoform X3	cysteine proteinase inhibitor 5-like
36	Lchi09693	Lchi16235	positive_coexpression	0.99524552	0.99524552	positive	1033	181	430.34789155	homeobox-leucine zipper protein ATHB-6-like	beta-glucosidase 44-like
37	Lchi23901	Lchi25757	positive_coexpression	0.99873447	0.99873447	positive	1111	167	430.19494636	B-box zinc finger protein 20-like	cytochrome P450 71A1-like
38	Lchi23901	Lchi27397	positive_coexpression	0.99224991	0.99224991	positive	1111	169	429.95346171	B-box zinc finger protein 20-like	p-coumarate 3-hydroxylase-like
39	Lchi23901	Lchi17921	positive_coexpression	0.97704470	0.97704470	positive	1111	174	429.58201111	B-box zinc finger protein 20-like	probable polygalacturonase
40	Lchi07566	Lchi25188	positive_coexpression	0.99216372	0.99216372	positive	1059	177	429.55418599	LOB domain-containing protein 25-like isoform X3	villin-1 isoform X1
41	Lchi06972	Lchi17443	positive_coexpression	0.98299569	0.98299569	positive	1055	181	429.55337032	transcription factor bHLH149-like	plant/F18G18-20 protein
42	Lchi23901	Lchi19725	positive_coexpression	0.98465884	0.98465884	positive	1111	171	429.18137706	B-box zinc finger protein 20-like	glucose and ribitol dehydrogenase-like
43	Lchi07566	Lchi27946	positive_coexpression	0.98807222	0.98807222	positive	1059	178	428.98950777	LOB domain-containing protein 25-like isoform X3	receptor protein kinase CLAVATA1
44	Lchi06972	Lchi16235	positive_coexpression	0.98161358	0.98161358	positive	1055	181	428.94941038	transcription factor bHLH149-like	beta-glucosidase 44-like
45	Lchi18250	Lchi17168	positive_coexpression	0.98229134	0.98229134	positive	1077	177	428.87901828	transcription factor bHLH93	thiamine thiazole synthase 2, chloroplastic-like
46	Lchi07566	Lchi17168	positive_coexpression	0.99055976	0.99055976	positive	1059	177	428.85975651	LOB domain-containing protein 25-like isoform X3	thiamine thiazole synthase 2, chloroplastic-like
47	Lchi02953	Lchi17615	positive_coexpression	0.98531234	0.98531234	positive	1070	177	428.79769676	homeobox-leucine zipper protein ATHB-13-like isoform X1	zinc finger CCCH domain-containing protein 53-like isoform X2
48	Lchi23901	Lchi25487	positive_coexpression	0.98346448	0.98346448	positive	1111	171	428.66079364	B-box zinc finger protein 20-like	protein MOTHER of FT and TFL1-like protein
49	Lchi18250	Lchi16235	positive_coexpression	0.97075933	0.97075933	positive	1077	181	428.60645986	transcription factor bHLH93	beta-glucosidase 44-like
50	Lchi13937	Lchi16235	negative_coexpression	-0.99264765	0.99264765	negative	1030	181	428.60084068	B3 domain-containing protein Os03g0212300-like	beta-glucosidase 44-like
51	Lchi07566	Lchi05599	positive_coexpression	0.99244654	0.99244654	positive	1059	176	428.46113700	LOB domain-containing protein 25-like isoform X3	protein kinase PINOID 2
52	Lchi02953	Lchi28705	positive_coexpression	0.99279469	0.99279469	positive	1070	174	428.37681611	homeobox-leucine zipper protein ATHB-13-like isoform X1	oleosin S1-2
53	Lchi02953	Lchi16615	positive_coexpression	0.99537206	0.99537206	positive	1070	173	428.25297279	homeobox-leucine zipper protein ATHB-13-like isoform X1	germin-like protein 5-1
54	Lchi18250	Lchi17443	positive_coexpression	0.96964955	0.96964955	positive	1077	181	428.11647345	transcription factor bHLH93	plant/F18G18-20 protein
55	Lchi23901	Lchi02750	positive_coexpression	0.96541584	0.96541584	positive	1111	177	428.11267185	B-box zinc finger protein 20-like	LRR receptor-like serine/threonine-protein kinase ERECTA
56	Lchi07566	Lchi17615	positive_coexpression	0.98880649	0.98880649	positive	1059	177	428.10068374	LOB domain-containing protein 25-like isoform X3	zinc finger CCCH domain-containing protein 53-like isoform X2
57	Lchi23901	Lchi12998	positive_coexpression	0.98502374	0.98502374	positive	1111	170	428.08320323	B-box zinc finger protein 20-like	putative disease resistance protein At5g47280
58	Lchi06007	Lchi11642	positive_coexpression	0.99548078	0.99548078	positive	1027	180	428.01043146	homeobox-leucine zipper protein HAT2-like	arogenate dehydrogenase 2, chloroplastic-like
59	Lchi02953	Lchi05599	positive_coexpression	0.98559922	0.98559922	positive	1070	176	427.70918214	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein kinase PINOID 2
60	Lchi18250	Lchi18724	positive_coexpression	0.97683448	0.97683448	positive	1077	178	427.69958967	transcription factor bHLH93	protein DETOXIFICATION 33-like
61	Lchi22877	Lchi17443	positive_coexpression	0.98506606	0.98506606	positive	1041	181	427.59243014	transcription factor AS1	plant/F18G18-20 protein
62	Lchi07566	Lchi28705	positive_coexpression	0.99608672	0.99608672	positive	1059	174	427.58233464	LOB domain-containing protein 25-like isoform X3	oleosin S1-2
63	Lchi02953	Lchi25188	positive_coexpression	0.98214942	0.98214942	positive	1070	177	427.42122683	homeobox-leucine zipper protein ATHB-13-like isoform X1	villin-1 isoform X1
64	Lchi23901	Lchi11647	positive_coexpression	0.98343104	0.98343104	positive	1111	170	427.39102893	B-box zinc finger protein 20-like	ketol-acid reductoisomerase, chloroplastic-like
65	Lchi13937	Lchi17443	negative_coexpression	-0.98976189	0.98976189	negative	1030	181	427.35484049	B3 domain-containing protein Os03g0212300-like	plant/F18G18-20 protein
66	Lchi06972	Lchi17168	positive_coexpression	0.98887730	0.98887730	positive	1055	177	427.32201798	transcription factor bHLH149-like	thiamine thiazole synthase 2, chloroplastic-like
67	Lchi02953	Lchi11374	positive_coexpression	0.99596459	0.99596459	positive	1070	172	427.26764831	homeobox-leucine zipper protein ATHB-13-like isoform X1	dehydrin/lea group 2-like protein
68	Lchi02953	Lchi05513	positive_coexpression	0.98175651	0.98175651	positive	1070	177	427.25023648	homeobox-leucine zipper protein ATHB-13-like isoform X1	methyl-CpG-binding domain-containing protein 11-like isoform X1
69	Lchi02953	Lchi14169	positive_coexpression	0.98993075	0.98993075	positive	1070	174	427.14106665	homeobox-leucine zipper protein ATHB-13-like isoform X1	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
70	Lchi23901	Lchi28527	positive_coexpression	0.99462277	0.99462277	positive	1111	166	427.13924025	B-box zinc finger protein 20-like	heavy metal-associated isoprenylated plant protein 9 isoform X1
71	Lchi13937	Lchi11642	negative_coexpression	-0.99169070	0.99169070	negative	1030	180	427.00317611	B3 domain-containing protein Os03g0212300-like	arogenate dehydrogenase 2, chloroplastic-like
72	Lchi07566	Lchi16615	positive_coexpression	0.99707377	0.99707377	positive	1059	173	426.77436325	LOB domain-containing protein 25-like isoform X3	germin-like protein 5-1
73	Lchi23901	Lchi22953	positive_coexpression	0.97899079	0.97899079	positive	1111	171	426.71085488	B-box zinc finger protein 20-like	aspartyl protease family protein 2
74	Lchi23901	Lchi02670	positive_coexpression	0.99351025	0.99351025	positive	1111	166	426.66147023	B-box zinc finger protein 20-like	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1
75	Lchi22877	Lchi16235	positive_coexpression	0.98264712	0.98264712	positive	1041	181	426.54242906	transcription factor AS1	beta-glucosidase 44-like
