Orthogroup	source	in_orthofinder_single_copy_list	Castanea_mollissima	Cunninghamia_lanceolata_CULA	Liquidambar_formosana	Liriodendron_chinense	Picea_abies	Quercus_suber	Vitis_vinifera
OG0011799	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G140300.1.v1.1	CULA08G16380.1	KAK9270719.1	Lchi03010	MA_10277392g0010	XP_023891584.1	XP_010664278.1
OG0011815	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G060400.1.v1.1	CULA04G23470.2	KAK9268807.1	Lchi17315	MA_75192g0010	XP_023910542.1	XP_002284668.1
OG0011821	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G164500.1.v1.1	CULA07G08720.1	KAK9277457.1	Lchi00710	MA_1737g0020	XP_023928713.2	XP_002268965.1
OG0011823	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G234900.1.v1.1	CULA02G26820.1	KAK9285306.1	Lchi18190	MA_131178g0010	XP_023877674.2	XP_003633223.1
OG0011828	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G064200.1.v1.1	CULA10G34910.1	KAK9268841.1	Lchi28759	MA_13745g0010	XP_065623367.1	XP_002282241.3
OG0011830	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G094900.1.v1.1	CULA04G42610.2	KAK9290346.1	Lchi26047	MA_92610g0010	XP_023912360.1	XP_002265437.1
OG0011853	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G159000.1.v1.1	CULA02G31510.1	KAK9292070.1	Lchi04908	MA_123133g0010	XP_023913392.1	XP_002270958.1
OG0011857	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G024300.1.v1.1	CULA06G57800.3	KAK9280355.1	Lchi04362	MA_53054g0010	XP_023882218.2	XP_003632132.1
OG0011862	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G088800.1.v1.1	CULA11G33260.2	KAK9278106.1	Lchi03782	MA_492000g0010	XP_023885838.1	XP_002269751.1
OG0011878	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G043400.1.v1.1	CULA10G27550.2	KAK9290837.1	Lchi21843	MA_93134g0010	XP_023913344.1	XP_002283857.1
