Orthogroup	source	C_mollissima	Liriodendron_hybrid	V_vinifera	n_Cunninghamia_lanceolata_CULA	n_Liquidambar_formosana	n_Picea_abies	n_Quercus_suber
OG0011799	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.10G140300.1.v1.1	Lchi03010	XP_010664278.1	1	1	1	1
OG0011815	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G060400.1.v1.1	Lchi17315	XP_002284668.1	1	1	1	1
OG0011821	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.03G164500.1.v1.1	Lchi00710	XP_002268965.1	1	1	1	1
OG0011823	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G234900.1.v1.1	Lchi18190	XP_003633223.1	1	1	1	1
OG0011828	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G064200.1.v1.1	Lchi28759	XP_002282241.3	1	1	1	1
OG0011830	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.09G094900.1.v1.1	Lchi26047	XP_002265437.1	1	1	1	1
OG0011853	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.10G159000.1.v1.1	Lchi04908	XP_002270958.1	1	1	1	1
OG0011857	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G024300.1.v1.1	Lchi04362	XP_003632132.1	1	1	1	1
OG0011862	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.04G088800.1.v1.1	Lchi03782	XP_002269751.1	1	1	1	1
OG0011878	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.09G043400.1.v1.1	Lchi21843	XP_002283857.1	1	1	1	1
OG0011880	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G101800.1.v1.1	Lchi28199	XP_002276021.1	1	1	1	1
OG0011882	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G164400.1.v1.1	Lchi28034	XP_019080189.1	1	1	1	1
OG0011885	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G083900.1.v1.1	Lchi07155	XP_002262661.3	1	1	1	1
OG0011887	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.12G120100.1.v1.1	Lchi02152	XP_002284503.3	1	1	1	1
OG0011890	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.06G021100.1.v1.1	Lchi07221	XP_002264297.1	1	1	1	1
OG0011894	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.07G008700.1.v1.1	Lchi02705	XP_002277323.2	1	1	1	1
OG0011898	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G243800.1.v1.1	Lchi02490	XP_002274559.2	1	1	1	1
OG0011907	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.10G135700.1.v1.1	Lchi00060	XP_010652336.1	1	1	1	1
OG0011908	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G077300.1.v1.1	Lchi23364	XP_002285017.1	1	1	1	1
OG0011910	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.12G077600.1.v1.1	Lchi27817	XP_002285663.1	1	1	1	1
OG0011919	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G266300.1.v1.1	Lchi07539	XP_010660886.1	1	1	1	1
OG0011921	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.03G076000.1.v1.1	Lchi22185	XP_002270792.1	1	1	1	1
OG0011925	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G025800.1.v1.1	Lchi04350	XP_002278413.1	1	1	1	1
OG0011943	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.05G174600.1.v1.1	Lchi28052	XP_002274769.1	1	1	1	1
OG0011947	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G126700.1.v1.1	Lchi15638	XP_002277877.2	1	1	1	1
OG0011951	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.07G018200.1.v1.1	Lchi16356	XP_002274388.1	1	1	1	1
OG0011973	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.12G074100.1.v1.1	Lchi02299	XP_002285696.1	1	1	1	1
OG0011975	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.10G153400.1.v1.1	Lchi15062	XP_010664515.1	1	1	1	1
OG0011986	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G151300.1.v1.1	Lchi20326	XP_002268373.1	1	1	1	1
OG0011988	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.10G087400.1.v1.1	Lchi04421	XP_002269127.1	1	1	1	1
OG0011995	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.09G174700.1.v1.1	Lchi06102	XP_010653790.1	1	1	1	1
OG0011996	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.11G003000.1.v1.1	Lchi18189	XP_002263612.1	1	1	1	1
OG0011998	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G319000.1.v1.1	Lchi17418	XP_002267328.2	1	1	1	1
OG0012001	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G003500.1.v1.1	Lchi29957	XP_002279984.3	1	1	1	1
OG0012003	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G122300.1.v1.1	Lchi01754	XP_002269515.1	1	1	1	1
OG0012004	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G130600.1.v1.1	Lchi29420	XP_002272607.2	1	1	1	1
OG0012006	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.02G050900.1.v1.1	Lchi00296	XP_002272388.1	1	1	1	1
OG0012007	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.03G128000.1.v1.1	Lchi19575	XP_003631322.1	1	1	1	1
OG0012012	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G316500.1.v1.1	Lchi10673	XP_002263200.2	1	1	1	1
OG0012027	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G024800.1.v1.1	Lchi25630	XP_002278579.1	1	1	1	1
OG0012029	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.05G163900.1.v1.1	Lchi17745	XP_010647145.1	1	1	1	1
OG0012031	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.12G000400.1.v1.1	Lchi01671	XP_002264380.3	1	1	1	1
OG0012040	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.12G096300.1.v1.1	Lchi01200	XP_002274994.1	1	1	1	1
OG0012066	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G158900.1.v1.1	Lchi20289	XP_002264617.2	1	1	1	1
OG0012067	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.01G293400.1.v1.1	Lchi01018	XP_002280953.1	1	1	1	1
OG0012069	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.03G105200.1.v1.1	Lchi26337	XP_003631230.1	1	1	1	1
OG0012076	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G008500.1.v1.1	Lchi14810	XP_002276273.1	1	1	1	1
OG0012078	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.02G112100.1.v1.1	Lchi02121	XP_002275141.2	1	1	1	1
OG0012080	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.05G122800.1.v1.1	Lchi17626	XP_002272874.2	1	1	1	1
OG0012081	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.08G063800.1.v1.1	Lchi04297	XP_002279721.1	1	1	1	1
OG0012082	one_gene_each_in_target_3species_from_ref7_Orthogroups	CmMahoganyH2.02G105100.1.v1.1	Lchi02591	XP_002271213.1	1	1	1	1
