Orthogroup	source	C_mollissima	Liriodendron_hybrid	V_vinifera	n_Cunninghamia_lanceolata_CULA	n_Liquidambar_formosana	n_Picea_abies	n_Quercus_suber
OG0011799	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G140300	Lc__Lchi03010	Vv__XP_010664278.1	1	1	1	1
OG0011815	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G060400	Lc__Lchi17315	Vv__XP_002284668.1	1	1	1	1
OG0011821	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G164500	Lc__Lchi00710	Vv__XP_002268965.1	1	1	1	1
OG0011823	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G234900	Lc__Lchi18190	Vv__XP_003633223.1	1	1	1	1
OG0011828	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G064200	Lc__Lchi28759	Vv__XP_002282241.3	1	1	1	1
OG0011830	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G094900	Lc__Lchi26047	Vv__XP_002265437.1	1	1	1	1
OG0011853	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G159000	Lc__Lchi04908	Vv__XP_002270958.1	1	1	1	1
OG0011857	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G024300	Lc__Lchi04362	Vv__XP_003632132.1	1	1	1	1
OG0011862	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.04G088800	Lc__Lchi03782	Vv__XP_002269751.1	1	1	1	1
OG0011878	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.09G043400	Lc__Lchi21843	Vv__XP_002283857.1	1	1	1	1
OG0011880	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G101800	Lc__Lchi28199	Vv__XP_002276021.1	1	1	1	1
OG0011882	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G164400	Lc__Lchi28034	Vv__XP_019080189.1	1	1	1	1
OG0011885	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G083900	Lc__Lchi07155	Vv__XP_002262661.3	1	1	1	1
OG0011887	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G120100	Lc__Lchi02152	Vv__XP_002284503.3	1	1	1	1
OG0011890	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.06G021100	Lc__Lchi07221	Vv__XP_002264297.1	1	1	1	1
OG0011894	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.07G008700	Lc__Lchi02705	Vv__XP_002277323.2	1	1	1	1
OG0011898	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G243800	Lc__Lchi02490	Vv__XP_002274559.2	1	1	1	1
OG0011907	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.10G135700	Lc__Lchi00060	Vv__XP_010652336.1	1	1	1	1
OG0011908	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.08G077300	Lc__Lchi23364	Vv__XP_002285017.1	1	1	1	1
OG0011910	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.12G077600	Lc__Lchi27817	Vv__XP_002285663.1	1	1	1	1
OG0011919	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.01G266300	Lc__Lchi07539	Vv__XP_010660886.1	1	1	1	1
OG0011921	one_gene_each_in_target_3species_from_ref7_Orthogroups	Cm__CmMahoganyH2.03G076000	Lc__Lchi22185	Vv__XP_002270792.1	1	1	1	1
