pair_id	method	left_species	left_gene	left_role	right_species	right_gene	right_role	is_main_pair	is_lchi09014_anchor_pair	is_syntenic	collinearity_block_id	collinearity_block_size	ka	ks	kaks	kaks_status	aligned_codons	aa_identity	alignment_status	alignment_error	collinearity_file
P0001	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	True	False	False			0.0845334	0.728496	0.116038	ok	329	0.8662613981762918	ok		
P0002	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Liquidambar	KAK9284459.1	single_copy	True	False	False			0.0672058	0.445333	0.150912	ok	329	0.8905775075987842	ok		
P0003	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Liriodendron_chinense	Lchi09014	anchor_main	True	True	True	12	7	0.0920264	1.79686	0.0512151	ok	329	0.8541033434650456	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Camellia_oleifera/Liriodendron_chinense__vs__Camellia_oleifera.collinearity
P0004	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Liriodendron_chinense	Lchi23640	secondary_copy	False	False	False			0.151162	3.49355	0.0432689	ok	253	0.7628458498023716	ok		
P0005	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Picea_abies	MA_491379g0010	single_copy	True	False	False			0.181247	3.60331	0.0503	ok	316	0.7215189873417721	ok		
P0006	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	QuercusSuber	XP_023926621.1	single_copy	True	False	False			0.0813142	0.743534	0.109362	ok	329	0.8723404255319149	ok		
P0007	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	False	False			0.0702583	0.789722	0.0889659	ok	329	0.878419452887538	ok		
P0008	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.0968101	1.13212	0.0855124	ok	329	0.8419452887537994	ok		
P0009	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Zea_mays	NP_001130585.1	besthit	True	False	False			0.0957113	4.2985	0.0222662	ok	329	0.8358662613981763	ok		
P0010	GY	Camellia_oleifera	maker-HiC_scaffold_10-snap-gene-1860.33-mRNA-1	syntenic_main	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.0913337	4.38605	0.0208237	ok	325	0.84	ok		
P0011	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	False	False	True	58	7	0.0871613	0.917589	0.0949894	ok	332	0.8554216867469879	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Camellia_oleifera__vs__Castanea_mollissima/Camellia_oleifera__vs__Castanea_mollissima.collinearity
P0012	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Liquidambar	KAK9284459.1	single_copy	False	False	True	273	8	0.0712873	0.641068	0.111201	ok	330	0.8666666666666667	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Camellia_oleifera__vs__Liquidambar/Camellia_oleifera__vs__Liquidambar.collinearity
P0013	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Liriodendron_chinense	Lchi09014	anchor_main	False	True	False			0.0823909	2.12947	0.0386908	ok	331	0.8580060422960725	ok		
P0014	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Liriodendron_chinense	Lchi23640	secondary_copy	False	False	False			0.145858	3.57321	0.0408197	ok	253	0.7786561264822134	ok		
